#,Rule Type,Template Correct Phrase,Template Error Phrase,Correct Phrase Syntactic Tags,Error Phrase Syntactic Tags,Requisite Syntactic Tags,Inserted,Modified,Preserved,Substituted,Deleted,
char1,Character,ませ,ます,"助動詞,*,特殊・マス,未然形,ます","動詞,自立,五段・サ行,基本形,ます","1,-1,1,1,1",[1],[],[],[],[1],
char2,Character,"し,ない","さ,ない","動詞,自立,サ変・スル,未然形,する,助動詞,*,特殊・ナイ,基本形,ない","副詞,助詞類接続,*,*,さ,形容詞,自立,形容詞・アウオ段,基本形,ない","1,0,0,1,1,0,0,0,0,1",[0],[],[],[],[0],
char3,Character,"し,ない","す,ない","動詞,自立,サ変・スル,未然形,する,助動詞,*,特殊・ナイ,基本形,ない","名詞,一般,*,*,す,形容詞,自立,形容詞・アウオ段,基本形,ない","0,0,0,1,1,0,0,0,0,0",[0],[],[],[],[0],
char4,Character,"し,なかっ","しま,なかっ","動詞,自立,サ変・スル,未然形,する,助動詞,*,特殊・ナイ,連用タ接続,ない","動詞,自立,五段・マ行,未然形,しむ,助動詞,*,特殊・ナイ,連用タ接続,ない","1,1,1,1,1,1,-1,1,0,1",[1],[],[],[],[],
char5,Character,"し,たく,ない","した,いない","動詞,自立,サ変・スル,連用形,する,助動詞,*,特殊・タイ,連用テ接続,たい,助動詞,*,特殊・ナイ,基本形,ない","名詞,一般,*,*,した,名詞,固有名詞,*,*,いない","1,0,0,0,1,1,0,0,1,1,0,0,0,0,1",[2],[],[],[],[2],
char6,Character,"し,ます","す,ます","動詞,自立,サ変・スル,連用形,する,助動詞,*,特殊・マス,基本形,ます","動詞,自立,サ変・スル,文語基本形,する,助動詞,*,特殊・マス,基本形,ます","1,0,0,1,0,1,0,-1,0,1",[],[],[],"[[0, 0]]",[],
char7,Character,食べる,"食,びる","動詞,自立,一段,基本形,食べる","名詞,一般,*,*,食,名詞,固有名詞,*,*,びる","1,0,1,0,0",[],[],"[[2, 2]]","[[1, 1]]",[],
char8,Character,"着,ない","着,ら,ない","動詞,自立,一段,未然形,着る,助動詞,*,特殊・ナイ,基本形,ない","名詞,サ変接続,*,*,着,名詞,接尾,*,*,ら,形容詞,自立,形容詞・アウオ段,基本形,ない","1,0,1,1,0,0,-1,0,0,1",[1],[],[],[],[],
char9,Character,"食べ,た","食べ,っ,た","動詞,自立,一段,連用形,食べる,助動詞,*,特殊・タ,基本形,た","動詞,自立,一段,連用形,食べる,動詞,非自立,五段・カ行促音便,連用タ接続,く,助動詞,*,特殊・タ,基本形,た","1,0,0,1,0,0,0,-1,-1,1",[2],[],[],[],[],
char10,Character,"食べ,たかっ,た","食べ,た,いかっ,た","動詞,自立,一段,連用形,食べる,助動詞,*,特殊・タイ,連用タ接続,たい,助動詞,*,特殊・タ,基本形,た","動詞,自立,一段,連用形,食べる,助動詞,*,特殊・タ,基本形,た,動詞,自立,五段・ラ行,連用タ接続,いかる,助動詞,*,特殊・タ,基本形,た","1,0,0,1,0,1,-1,1,1,1,1,-1,1,0,1",[3],[],"[[2, 2]]",[],[],
char11,Character,"食べ,て","食べ,って","動詞,自立,一段,連用形,食べる,助詞,接続助詞,*,*,て","動詞,自立,一段,連用形,食べる,助詞,格助詞,*,*,って","1,0,0,1,0,1,1,-1,-1,1",[2],[],[],[],[],
char12,Character,"急い,で","急,で","動詞,自立,五段・ガ行,連用タ接続,急ぐ,助詞,接続助詞,*,*,で","名詞,形容動詞語幹,*,*,急,助動詞,*,特殊・ダ,連用形,だ","1,0,0,1,0,1,1,-1,-1,0",[],[],[],[],[1],
char13,Character,"泳い,で","泳,んで","動詞,自立,五段・ガ行,連用タ接続,泳ぐ,助詞,接続助詞,*,*,で","名詞,固有名詞,*,*,泳,助詞,接続助詞,*,*,んで","1,0,0,1,0,1,1,-1,-1,1",[],[],[],"[[1, 1]]",[],
char14,Character,"聞い,た","聞,っ,た","動詞,自立,五段・カ行イ音便,連用タ接続,聞く,助動詞,*,特殊・タ,基本形,た","名詞,一般,*,*,*,動詞,非自立,五段・カ行促音便,連用タ接続,く,助動詞,*,特殊・タ,基本形,た","1,0,0,1,0,1,-1,1,0,1",[],[],[],"[[1, 1]]",[],
char15,Character,"聞い,て","聞,って","動詞,自立,五段・カ行イ音便,連用タ接続,聞く,助詞,接続助詞,*,*,て","名詞,固有名詞,*,*,*,助詞,格助詞,*,*,って","1,0,0,1,0,1,1,-1,-1,1",[],[],[],"[[1, 1]]",[],
char16,Character,"行き,まし,た","行き,また","動詞,自立,五段・カ行促音便,連用形,行く,助動詞,*,特殊・マス,連用形,ます,助動詞,*,特殊・タ,基本形,た","動詞,自立,五段・カ行促音便,連用形,行く,接続詞,*,*,*,また","1,0,0,1,0,1,-1,1,1,1,1,-1,1,1,1",[],[],[],[],[3],
char17,Character,"話し,て","話,って","動詞,自立,五段・サ行,連用形,話す,助詞,接続助詞,*,*,て","名詞,サ変接続,*,*,話,助詞,格助詞,*,*,って","1,0,0,1,0,1,1,-1,-1,1",[],[],[],"[[1, 1]]",[],
char18,Character,する,しる,"動詞,自立,五段・ラ行,基本形,する","動詞,自立,五段・ラ行,基本形,しる","1,0,0,1,1",[0],[],[],[],[0],
char19,Character,"分かっ,た","分か,た","動詞,自立,五段・ラ行,連用タ接続,分かる,助動詞,*,特殊・タ,基本形,た","名詞,サ変接続,*,*,分化,助動詞,*,特殊・タ,基本形,た","1,0,0,1,0,1,-1,1,0,0",[],[],[],[],[2],
char20,Character,"分かっ,て","分か,て","動詞,自立,五段・ラ行,連用タ接続,分かる,助詞,接続助詞,*,*,て","名詞,サ変接続,*,*,分化,助詞,接続助詞,*,*,て","1,0,0,1,0,1,1,-1,-1,1",[],[],[],[],[2],
char21,Character,"分かり,まし","分か,まし","動詞,自立,五段・ラ行,連用形,分かる,助動詞,*,特殊・マス,連用形,ます","動詞,自立,五段・ラ行,体言接続特殊２,分かる,助動詞,*,特殊・マス,連用形,ます","1,0,0,1,0,1,-1,1,0,1",[],[],[],[],[2],
char22,Character,なさい,"な,さり","動詞,自立,五段・ラ行特殊,連用形,なさる","助詞,終助詞,*,*,な,動詞,自立,五段・ラ行,連用形,さる","1,0,1,1,1",[],[],[],"[[2, 2]]",[],
char23,Character,いっしょ,いしょ,"名詞,一般,*,*,いっしょ","動詞,自立,サ変・−スル,未然ウ接続,いする","1,0,-1,-1,0",[],[],[],[],[1],
char24,Character,しゅう,"し,ゅ","名詞,一般,*,*,しゅう","動詞,自立,サ変・スル,連用形,する,名詞,一般,*,*,*","1,0,-1,-1,0",[],[],"[[1, 1]]",[],[2],
char25,Character,きょう,"き,ょ","名詞,副詞可能,*,*,きょう","動詞,自立,カ変・クル,連用形,くる,名詞,一般,*,*,*","1,0,-1,-1,0",[],[],"[[1, 1]]",[],[2],
char26,Character,"多く,の","多い,の","名詞,副詞可能,*,*,多く,助詞,連体化,*,*,の","形容詞,自立,形容詞・アウオ段,基本形,多い,助詞,終助詞,*,*,の","1,1,-1,-1,0,1,1,-1,-1,0",[1],[],[],[],[1],
char27,Character,"きれい,で","きれ,く,て","名詞,形容動詞語幹,*,*,きれい,助動詞,*,特殊・ダ,連用形,だ","動詞,自立,一段,連用形,きれる,動詞,非自立,カ変・クル,体言接続特殊２,くる,助詞,接続助詞,*,*,て","1,0,-1,-1,0,1,-1,1,1,1","[2, 3]",[],[],[],"[2, 3]",
char28,Character,"静か,だっ,た","静,かっ,た","名詞,形容動詞語幹,*,*,静か,助動詞,*,特殊・ダ,連用タ接続,だ,助動詞,*,特殊・タ,基本形,た","名詞,一般,*,*,静,動詞,自立,五段・ワ行促音便,連用タ接続,かう,助動詞,*,特殊・タ,基本形,た","1,0,-1,-1,0,1,-1,1,1,1,0,0,0,0,0",[],[],"[[1, 1]]",[],[2],
char29,Character,痛い,痛いい,"形容詞,自立,形容詞・アウオ段,基本形,痛い","形容詞,自立,形容詞・アウオ段,基本形,痛い","1,0,0,1,0",[2],[],"[[1, 1]]",[],[],
char30,Character,"なかっ,た","な,かた","形容詞,自立,形容詞・アウオ段,連用タ接続,ない,助動詞,*,特殊・タ,基本形,た","助動詞,*,特殊・ダ,体言接続,だ,名詞,非自立,*,*,かた","0,0,0,1,1,1,-1,0,0,1",[],[],[],[],[2],
char31,Character,よかっ,いかっ,"形容詞,自立,形容詞・アウオ段,連用タ接続,よい","動詞,自立,五段・ラ行,連用タ接続,いかる","1,0,0,1,1",[],[],[],"[[0, 0]]",[],
char32,Character,"低かっ,た","低か,た","形容詞,自立,形容詞・アウオ段,連用タ接続,低い,助動詞,*,特殊・タ,基本形,た","形容詞,自立,形容詞・アウオ段,連用タ接続,低い,助動詞,*,特殊・タ,基本形,た","1,0,0,1,0,1,-1,1,1,1",[],[],[],[],[2],
char33,Character,"よく,ない","いく,ない","形容詞,自立,形容詞・アウオ段,連用テ接続,よい,助動詞,*,特殊・ナイ,基本形,ない","動詞,自立,五段・カ行促音便,基本形,いく,形容詞,自立,形容詞・アウオ段,基本形,ない","0,0,0,1,1,1,-1,1,0,1",[0],[],[],[],[0],
char34,Character,"青く,て","青,で","形容詞,自立,形容詞・アウオ段,連用テ接続,青い,助詞,接続助詞,*,*,て","名詞,一般,*,*,青,助詞,格助詞,*,*,で","1,0,0,1,0,1,1,-1,-1,1",[1],[],[],[],"[1, 2]",
char35,Character,いい,い,"形容詞,自立,形容詞・イイ,基本形,いい","動詞,自立,一段,連用形,いる","1,0,0,0,1",[],[],[],[],[0],
char36,Character,ほしい,"ほう,しい","形容詞,自立,形容詞・イ段,基本形,ほしい","感動詞,*,*,*,ほう,動詞,自立,一段,連用形,しいる","1,0,0,0,1",[1],[],"[[0, 0]]",[],[],
char37,Character,この,"これ,の","連体詞,*,*,*,この","名詞,代名詞,*,*,これ,助詞,連体化,*,*,の","1,-1,-1,-1,0",[1],[],"[[2, 1]]",[],[],
char38,Character,小さな,"小さい,な","連体詞,*,*,*,小さな","形容詞,自立,形容詞・アウオ段,基本形,小さい,助詞,終助詞,*,*,な","1,0,0,0,0",[2],[],"[[3, 2]]",[],[],
token1,Token,"もう,本","もっと,本","副詞,一般,*,*,もう,名詞,一般,*,*,本","副詞,一般,*,*,もっと,名詞,一般,*,*,本","0,0,-1,-1,1,1,0,-1,-1,0",[0],[],"[[1, 1]]",[],[0],
token2,Token,"あまり,よく,ない","あまり,よい","副詞,助詞類接続,*,*,あまり,形容詞,自立,形容詞・アウオ段,連用テ接続,よい,助動詞,*,特殊・ナイ,基本形,ない","副詞,助詞類接続,*,*,あまり,形容詞,自立,形容詞・アウオ段,基本形,よい","1,1,-1,-1,1,0,0,0,0,0,0,-1,0,0,1",[],"[[1, 1]]","[[0, 0]]",[],[2],
token3,Token,"あまり,良く,なかっ,た","あまり,良かっ,た","副詞,助詞類接続,*,*,あまり,形容詞,自立,形容詞・アウオ段,連用テ接続,良い,助動詞,*,特殊・ナイ,連用タ接続,ない,助動詞,*,特殊・タ,基本形,た","副詞,助詞類接続,*,*,あまり,形容詞,自立,形容詞・アウオ段,連用タ接続,良い,助動詞,*,特殊・タ,基本形,た","1,1,-1,-1,0,0,0,0,0,0,0,-1,0,0,1,1,-1,1,0,1",[],"[[1, 1]]","[[0, 0], [2, 3]]",[],[2],
token4,Token,"どう,思う","どう,と,思う","副詞,助詞類接続,*,*,どう,動詞,自立,五段・ワ行促音便,基本形,思う","副詞,助詞類接続,*,*,どう,助詞,接続助詞,*,*,と,動詞,自立,五段・ワ行促音便,基本形,思う","1,1,-1,-1,1,1,1,0,0,0",[1],[],"[[0, 0], [2, 1]]",[],[],
token5,Token,"まっすぐ,行く","まっすぐ,で,行く","副詞,助詞類接続,*,*,まっすぐ,動詞,自立,五段・カ行促音便,基本形,行く","副詞,助詞類接続,*,*,まっすぐ,助詞,格助詞,*,*,で,動詞,自立,五段・カ行促音便,基本形,行く","1,0,-1,-1,0,1,0,0,0,0",[1],[],"[[0, 0], [2, 1]]",[],[],
token6,Token,"全然,味","全然,に,味","副詞,助詞類接続,*,*,全然,名詞,一般,*,*,味","副詞,助詞類接続,*,*,全然,助詞,副詞化,*,*,に,名詞,一般,*,*,味","1,1,-1,-1,0,1,0,-1,-1,0",[1],[],"[[0, 0], [2, 1]]",[],[],
token7,Token,"少し,買う","少し,も,買う","副詞,助詞類接続,*,*,少し,動詞,自立,五段・ワ行促音便,基本形,買う","副詞,助詞類接続,*,*,少し,助詞,係助詞,*,*,も,動詞,自立,五段・ワ行促音便,基本形,買う","1,0,0,0,0,1,0,0,0,0",[1],[],"[[0, 0], [2, 1]]",[],[],
token8,Token,"だ,と,思う","です,と,思う","助動詞,*,特殊・ダ,基本形,だ,助詞,格助詞,*,*,と,動詞,自立,五段・ワ行促音便,基本形,思う","助動詞,*,特殊・デス,基本形,です,助詞,格助詞,*,*,と,動詞,自立,五段・ワ行促音便,基本形,思う","1,-1,1,1,1,1,1,-1,-1,1,1,1,0,0,0",[0],[],"[[1, 1], [2, 2]]",[],[0],
token9,Token,"だっ,た","だ,た","助動詞,*,特殊・ダ,連用タ接続,だ,助動詞,*,特殊・タ,基本形,た","助動詞,*,特殊・ダ,基本形,だ,助動詞,*,特殊・タ,基本形,た","1,-1,1,1,1,1,-1,1,0,1",[],"[[0, 0]]","[[1, 1]]",[],[],
token10,Token,"だっ,た,と,思う","でし,た,と,思う","助動詞,*,特殊・ダ,連用タ接続,だ,助動詞,*,特殊・タ,基本形,た,助詞,格助詞,*,*,と,動詞,自立,五段・ワ行促音便,基本形,思う","助動詞,*,特殊・デス,連用形,です,助動詞,*,特殊・タ,基本形,た,助詞,格助詞,*,*,と,動詞,自立,五段・ワ行促音便,基本形,思う","1,-1,1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,1,0,0,0",[0],[],"[[1, 1], [2, 2], [3, 3]]",[],[0],
token11,Token,です,"に,です","助動詞,*,特殊・デス,基本形,です","助詞,格助詞,*,*,に,助動詞,*,特殊・デス,基本形,です","1,-1,1,0,1",[0],[],"[[1, 0]]",[],[],
token12,Token,"でしょ,う","でしょ,う,です","助動詞,*,特殊・デス,未然形,です,助動詞,*,不変化型,基本形,う","助動詞,*,特殊・デス,未然形,です,助動詞,*,不変化型,基本形,う,助動詞,*,特殊・デス,基本形,です","1,-1,1,1,1,1,-1,1,1,1",[2],[],"[[0, 0], [1, 1]]",[],[],
token13,Token,"でし,た","だっ,た,です","助動詞,*,特殊・デス,連用形,です,助動詞,*,特殊・タ,基本形,た","助動詞,*,特殊・ダ,連用タ接続,だ,助動詞,*,特殊・タ,基本形,た,助動詞,*,特殊・デス,基本形,です","1,-1,1,1,1,1,-1,1,0,1","[0, 2]",[],"[[1, 1]]",[],[0],
token14,Token,なかっ,"ない,だっ","助動詞,*,特殊・ナイ,連用タ接続,ない","助動詞,*,特殊・ナイ,基本形,ない,助動詞,*,特殊・ダ,連用タ接続,だ","0,-1,0,1,1",[1],"[[0, 0]]",[],[],[],
token15,Token,"なかっ,た,です","ない,でし,た","助動詞,*,特殊・ナイ,連用タ接続,ない,助動詞,*,特殊・タ,基本形,た,助動詞,*,特殊・デス,基本形,です","助動詞,*,特殊・ナイ,基本形,ない,助動詞,*,特殊・デス,連用形,です,助動詞,*,特殊・タ,基本形,た","0,-1,0,1,0,1,-1,1,0,1,1,0,1,1,1",[],"[[0, 0], [1, 2]]","[[2, 1]]",[],[],
token16,Token,ます,"ます,です","助動詞,*,特殊・マス,基本形,ます","名詞,一般,*,*,ます,助動詞,*,特殊・デス,基本形,です","1,-1,1,1,1",[1],[],"[[0, 0]]",[],[],
token17,Token,"ませ,ん","ませ,ん,です","助動詞,*,特殊・マス,未然形,ます,助動詞,*,不変化型,基本形,ん","助動詞,*,特殊・マス,未然形,ます,助動詞,*,不変化型,基本形,ん,助動詞,*,特殊・デス,基本形,です","1,-1,1,1,1,1,-1,1,1,1",[2],[],"[[0, 0], [1, 1]]",[],[],
token18,Token,"しか,食べ,ない","しか,食べる","助詞,係助詞,*,*,しか,動詞,自立,一段,未然形,食べる,助動詞,*,特殊・ナイ,基本形,ない","助詞,係助詞,*,*,しか,動詞,自立,一段,基本形,食べる","1,1,-1,-1,1,1,0,0,1,0,1,-1,1,1,1",[],"[[1, 1]]","[[0, 0]]",[],[2],
token19,Token,"しか,い","だけ,い","助詞,係助詞,*,*,しか,動詞,自立,一段,連用形,いる","動詞,自立,一段,連用形,だける,動詞,非自立,一段,連用形,いる","0,0,-1,-1,1,1,0,0,1,0",[0],[],"[[1, 1]]",[],[0],
token20,Token,"しか,話さ","だけ,話さ","助詞,係助詞,*,*,しか,動詞,自立,五段・サ行,未然形,話す","助詞,副助詞,*,*,だけ,動詞,自立,五段・サ行,未然形,話す","0,0,-1,-1,1,1,0,0,1,0",[0],[],"[[1, 1]]",[],[0],
token21,Token,"は,足,が,小さい","は,小さい,足","助詞,係助詞,*,*,は,名詞,一般,*,*,足,助詞,格助詞,*,*,が,形容詞,自立,形容詞・アウオ段,基本形,小さい","助詞,係助詞,*,*,は,形容詞,自立,形容詞・アウオ段,基本形,小さい,名詞,一般,*,*,足","1,1,-1,-1,1,0,0,0,0,0,1,0,-1,-1,1,1,0,0,0,0",[],[],"[[0, 0], [1, 3], [2, 1]]",[],[2],
token22,Token,"かも,しれ","かも,わかり","助詞,副助詞,*,*,かも,動詞,自立,一段,連用形,しれる","名詞,一般,*,*,かも,名詞,一般,*,*,分り","0,0,-1,-1,0,1,1,1,1,1",[1],"[[0, 0]]",[],[],[1],
token23,Token,"て,い,ます","て,です","助詞,接続助詞,*,*,て,動詞,非自立,一段,連用形,いる,助動詞,*,特殊・マス,基本形,ます","助詞,接続助詞,*,*,て,助動詞,*,特殊・デス,基本形,です","0,0,-1,-1,1,1,1,1,1,1,1,-1,1,0,1",[],[],"[[0, 0]]","[[1, 2]]",[1],
token24,Token,"て,いっ,て","て,あっ,て","助詞,接続助詞,*,*,て,動詞,非自立,五段・カ行促音便,連用タ接続,いく,助詞,接続助詞,*,*,て","助詞,接続助詞,*,*,て,動詞,非自立,五段・ラ行,連用タ接続,ある,助詞,接続助詞,*,*,て","1,1,-1,-1,0,1,1,0,1,1,0,0,0,0,0",[],[],"[[0, 0], [2, 2]]","[[1, 1]]",[],
token25,Token,"て,ください","て,を,ください","助詞,接続助詞,*,*,て,動詞,非自立,五段・ラ行特殊,命令ｉ,くださる","助詞,接続助詞,*,*,て,助詞,格助詞,*,*,を,動詞,自立,五段・ラ行特殊,連用形,くださる","1,0,-1,-1,1,1,0,0,0,0",[1],[],"[[0, 0], [2, 1]]",[],[],
token26,Token,ので,で,"助詞,接続助詞,*,*,ので","接続詞,*,*,*,で","1,0,-1,-1,1",[0],[],[],[],[0],
token27,Token,"が,見える","が,見る","助詞,格助詞,*,*,が,動詞,自立,一段,基本形,見える","助詞,格助詞,*,*,が,動詞,自立,一段,基本形,見る","1,1,0,0,-1,1,0,1,0,1",[],[],"[[0, 0]]","[[1, 1]]",[],
token28,Token,"が,ない","が,あら,ない","助詞,格助詞,*,*,が,形容詞,自立,形容詞・アウオ段,基本形,ない","助詞,格助詞,*,*,が,動詞,自立,五段・ラ行,未然形,ある,助動詞,*,特殊・ナイ,基本形,ない","0,0,-1,-1,0,0,0,0,0,1",[1],[],"[[0, 0], [2, 1]]",[],[],
token29,Token,"と,言う","は,言う","助詞,格助詞,*,*,と,動詞,自立,五段・ワ行促音便,基本形,言う","助詞,係助詞,*,*,は,動詞,自立,五段・ワ行促音便,基本形,言う","1,1,-1,-1,1,1,1,0,0,1",[0],[],"[[1, 1]]",[],[0],
token30,Token,"という,街","という,の,街","助詞,格助詞,*,*,という,名詞,一般,*,*,街","助詞,格助詞,*,*,という,助詞,連体化,*,*,の,名詞,一般,*,*,街","1,1,-1,-1,1,1,0,-1,-1,0",[1],[],"[[0, 0], [2, 1]]",[],[],
token31,Token,"へ,行く","を,行く","助詞,格助詞,*,*,へ,動詞,自立,五段・カ行促音便,基本形,行く","助詞,格助詞,*,*,を,動詞,自立,五段・カ行促音便,基本形,行く","1,1,-1,-1,1,1,1,0,0,0",[0],[],"[[1, 1]]",[],[0],
token32,Token,"へ,行く","が,行く","助詞,格助詞,*,*,へ,動詞,自立,五段・カ行促音便,基本形,行く","助詞,格助詞,*,*,が,動詞,自立,五段・カ行促音便,基本形,行く","1,0,-1,-1,1,1,0,0,0,0",[0],[],"[[1, 1]]",[],[0],
token33,Token,"へ,行く","で,行く","助詞,格助詞,*,*,へ,動詞,自立,五段・カ行促音便,基本形,行く","助詞,格助詞,*,*,で,動詞,自立,五段・カ行促音便,基本形,行く","1,0,-1,-1,1,1,0,0,0,0",[0],[],"[[1, 1]]",[],[0],
token34,Token,"へ,行く","と,行く","助詞,格助詞,*,*,へ,動詞,自立,五段・カ行促音便,基本形,行く","助詞,格助詞,*,*,と,動詞,自立,五段・カ行促音便,基本形,行く","0,0,0,0,1,1,0,0,0,0",[0],[],"[[1, 1]]",[],[0],
token35,Token,"へ,行く","は,行く","助詞,格助詞,*,*,へ,動詞,自立,五段・カ行促音便,基本形,行く","助詞,格助詞,*,*,は,動詞,自立,五段・カ行促音便,基本形,行く","1,1,-1,-1,1,1,1,0,0,0",[0],[],"[[1, 1]]",[],[0],
token36,Token,"の,本,は,安い","は,安い,本","助詞,連体化,*,*,の,名詞,一般,*,*,本,助詞,係助詞,*,*,は,形容詞,自立,形容詞・アウオ段,基本形,安い","助詞,係助詞,*,*,は,形容詞,自立,形容詞・アウオ段,基本形,安い,名詞,一般,*,*,本","1,1,-1,-1,1,1,0,-1,-1,0,1,1,-1,-1,1,1,0,0,1,0",[],[],"[[0, 2], [1, 3], [2, 1]]",[],[0],
token37,Token,"の,中,に","の,中,で","助詞,連体化,*,*,の,名詞,非自立,*,*,中,助詞,格助詞,*,*,に","助詞,連体化,*,*,の,名詞,非自立,*,*,中,助詞,格助詞,*,*,で","1,1,-1,-1,0,1,0,0,0,0,1,0,-1,-1,1",[2],[],"[[0, 0], [1, 1]]",[],[2],
token38,Token,"の,広,さ","の,広い","助詞,連体化,*,*,の,形容詞,自立,形容詞・アウオ段,ガル接続,広い,名詞,接尾,*,*,さ","助詞,格助詞,*,*,の,形容詞,自立,形容詞・アウオ段,基本形,広い","1,1,-1,-1,1,1,0,0,1,0,1,1,-1,-1,1",[],"[[1, 1]]","[[0, 0]]",[],[2],
token39,Token,"する,です","し,ます,です","動詞,自立,サ変・スル,基本形,する,助動詞,*,特殊・デス,基本形,です","動詞,自立,サ変・スル,連用形,する,助動詞,*,特殊・マス,基本形,ます,助動詞,*,特殊・デス,基本形,です","1,0,0,1,0,1,0,1,0,1",[1],"[[0, 0]]","[[2, 1]]",[],[],
