これ本は、英語です。,この本は、英語です。
あのは、なんですか？,あれは、なんですか？
このは、誰の本ですか？,これは、誰の本ですか？
あなたの学校は、なんですか？,あなたの学校は、どこですか？
ご兄弟がありますか？,ご兄弟がいますか？
英語の授業が好きくありません。,英語の授業が、好きじゃありません。
将来、日本で働くたいです。,将来、日本で働きたいです。
夏と冬とどれが一番好きですか？,夏と冬とどっちのほうが好きですか？
今、どこに行きますたいですか？,今、どこに行きたいですか？
このケーキは、甘くそうです。,このケーキは、甘そうです。
これは難しそうに問題です。,これは、難しそうな問題です。
今病気なので、元気くなりたいです。,今病気なので、元気になりたいです。
だんだん暗いになってきました。,だんだん暗くなってきました。
昨日見た映画は、良いでした。,昨日見た映画は、よかったです。
韓国料理は、辛いくて美味しいです。,韓国料理は、辛くて美味しいです。
イタリアに行くみたいです。,イタリアに行ってみたいです。
テーブルに晩御飯を置きておくので、食べてください。,テーブルに晩御飯を置いておくので、食べてください。
土曜日は暇なですか？,土曜日は暇ですか？
暇ななら、買い物に行きませんか？,暇なら、買い物に行きませんか？
日本に行きたことがあります。,日本に行ったことがあります。
鹿児島なら、行きましたことがあります。,鹿児島なら、行ったことがあります。
猫を飼いたことがあります。,猫を飼ったことがあります。
スポーツがするできます。,スポーツができます。
テニスが上手なです。,テニスが上手です。
料理が作られます。,料理が作れます。
ハンバーガーを５０個食べらます。,ハンバーガーを５０個食べられます。
明日、うちに来るれますか？,明日、うちに来られますか？
ドイツ語を話さます。,ドイツ語を話せます。
学校の後、一緒に遊べることができます。,学校の後、一緒に遊ぶことができます。
１日に一時間頃テレビを見ます。,１日に一時間ぐらいテレビを見ます。
子供の時、何のほうが一番欲しかったですか？,子供の時、何が一番欲しかったですか？
動物の中で、キリンのほうが好きです。,動物の中で、キリンが一番好きです。
狐より猿が一番好きです。,狐より猿のほうが好きです。
イギリスよりフランスが一番大きいです。,イギリスよりフランスのほうが、大きいです。
姉は、いつも勉強するいます。,姉は、いつも勉強しています。
私は、頭が良くてかもしれません。,私は、頭がいいかもしれません。
兄は、マイ地に一時間走りています。,兄は、毎日一時間走ってきます。
明日、雨が降れるかもしれません。,明日、雨が降るかもしれません。
祖母は、とても眠いそうでした。,祖母は、とても眠そうでした。
あの指輪は、とても高くそうです。,あの指輪は、とても高そうです。
誕生日にゲームをくれました。,誕生日にゲームをもらいました。
先生は、日本語の本をいただきました。,先生は、日本語の本をくださいました。
友達にプレゼントをくれました。,友達にプレゼントをあげました。
クリスマスに妹に、セーターをあげてつもりです。,クリスマスに妹に、セーターをあげるつもりです。
京都に行くたいんです。,京都に行きたいんです。
ステーキをどうしても食べるんたいです。,ステーキをどうしても食べたいんです。
後で、宿題をするようと思います。,後で、宿題をしようと思います。
今日は、忙しいくて大変です。,今日は、忙しくて大変です。
観光地で、涼しい過ごしたいです。,観光地で、涼しく過ごしたいです。
このゲームは、日本で作るられています。,このゲームは、日本で作られています。
ゴジラに東京は、破壊すれました。,ゴジラに東京は、破壊されました。
風邪をひきています。,風邪をひいています。
去年、高校を卒業しています。,去年、高校を卒業しました。
健くんのお父さんを知りますか？,健くんのお父さんを知っていますか？
健くんのお父さんを知っていません。,健くんのお父さんを知りません。
健くんのお父さんを知ります。,健くんのお父さんを知っています。
お久しぶり。私のこと覚える？,お久しぶり。私のこと覚えている？
小さい町に住みています。,小さい町に住んでいます。
日本の会社で働きている。,日本の会社で働いています。
アニメの会社に、勤めてています。,アニメの会社に勤めています。
自転車に乗れませんので、練習する。,自転車に乗れないので、練習する。
スイスに行ったことがありませんので、行ってみたい。,スイスに行ったことがないので、行ってみたい。
来週てるとがありますので、勉強しておく。,来週テストがあるので、勉強しておく。
ゆっくり話しますほうがいい。,ゆっくり話したほうがいい。
手を上げて、話しなくてはいけません。,手を上げて、話さなくてはいけません。
急に止まりますダメ。,急に止まっちゃダメ。
テストの勉強をしまなくちゃダメ。,テストの勉強をしなくちゃダメ。
弟に優しくしませんければなりません。,弟に優しくしなければなりません。
寿司は、手で食べるもいい。,寿司は、手で食べてもいい。
明日、起きてあげるね。,明日、起こしてあげるね。
見知らぬ土地で、親切にもらった。,見知らぬ土地で、親切にしてもらった。
道を教えますくれた。,道を教えてくれた。
大きい声で話しますいただけませんか？,大きい声で話していただけませんか？
犬をかわいがるいいです。,犬をかわいがるといいです。
健康食品を食べるいいです。,健康食品を食べるといいです。
脂っこいものを食べないいいと思う。,脂っこいものを食べないほうがいいと思う。
明日、晴れるといいが。,明日、晴れるといいんですが。
日本に行けるいいな。,日本に行けるといいな。
空港に着く時、電話ください。,空港に着いた時、電話ください。
運転した時、携帯はダメ。,運転している時、携帯はダメ。
山に行きます時、食べ物を持って行った方がいい。,山に行く時、食べ物を持って行ったほうがいい。
走った時、Jポップを聞いている。,走っている時、Jポップを聞いている。
食べる後、「ごちそうさま。」という。,食べた後、「ごちそうさま。」という。
食べた前、「いただきます。」という。,食べる前、「いただきます。」という。
食べ終わるたら、片付けて。,食べ終わったら、片付けて。
京都に行くたら、お土産を買ってきてね。,京都に行ったら、お土産を買ってきてね。
モールに行くたら、アイスクリームを買ってきて。,モールに行ったら、アイスクリームを買ってきて。
おばあちゃんにうちに行きなら、お魚を持って行って。,おばあちゃんのうちに行くなら、お魚を持って行って。
寂しいです時、音楽を聴く。,寂しい時、音楽を聴く。
家が静か時、勉強する。,家が静かな時、勉強する。
どう時、緊張する？,どんな時、緊張する？
新聞よると、世界は温暖化の傾向にある。,新聞によると、世界は温暖化の傾向にある。
天気予報よると、明日は雨だ。,天気予報によると、明日は雨だ。
明日、親戚がうちに来なって。,明日、親戚がうちに来るって。
あの夫婦は別れましたらしい。,あの夫婦は別れたらしい。
気がつきたら、雨漏りしていた。,気がついたら、雨漏りしていた。
昨日、雷がなるそうだ。,昨日、雷がなったそうだ。
あの人は、有名ならしい。,あの人は、有名らしい。
花子さんのお父さんは、怖いですそうだ。,花子さんのお父さんは、怖そうだ。
照子さんのお母さんは、優しいですそうだ。,照子さんのお母さんは優しそうだ。
あの二人は、結婚しましたそうだ。,あの二人は、結婚したそうだ。
明日、借りたノートを返すてか？,明日、借りたノートを返そうか？
あなたは、どんな思う？,あなたは、どう思う？
私は、いいだと思う。,私は、いいと思う。
私もそうだ思う。,私もそう思う。
そうといいんですが。,そうだといいんですが。
 日本のお習字をしいてみたいです。,日本のお習字をしてみたいです。
掃除をする後、手を洗いましょう。,掃除をした後、手を洗いましょう。
遊んだ前に、宿題しよう。,遊ぶ前に、宿題しよう。
部活前に、スナックを食べよう。,部活の前にスナックを食べよう。
サッカーの練習の後、すぐにうちに帰らう。,サッカーの練習の後、すぐにうちに帰ろう。
冷蔵庫のジュースを飲みじゃった。,冷蔵庫のジュースを飲んじゃった。
友達の悪口を言うちゃった。,友達の悪口を言っちゃった。
緊張してと、顔が赤くなる。,緊張すると、顔が赤くなる。
まっすぐ行けと、教会が見えます。,まっすぐ行くと、教会が見えます。
悲しくと、涙が出る。,悲しいと、涙が出る。
真面目と、みんなに尊敬される。,真面目だと、みんなに尊敬される。
運転すながら、携帯を使うのは危ない。,運転しながら、携帯を使うのは危ない。
音楽を聴くながら、勉強する。,音楽を聴きながら、勉強する。
もっと、早く起きらばよかったのに。,もっと、早く起きればよかったのに。
もっと、みんなと話さばよかったのに。,もっと、みんなと話せばよかったのに。
お客様は、ご飯を頂戴しました。,お客様は、ご飯を召し上がりました。
先生は、クラスの規則を守るよう申し上げます。,先生は、クラスの規則を守るようおっしゃいます。
父の友達がロシアから伺いました。,父の友達がロシアからいらっしゃいました。
カラオケで、Jポップを歌いつもり。,カラオケで、Jポップを歌うつもり。
明日、６時に起きてつもりです。,明日、６時に起きるつもりです。
今日の放課後、部活に行かうと思う。,今日の放課後、部活に行こうと思う。
悪いところは、直ようと思う。,悪いところは、直そうと思う。
聞きますか？,聞こえますか？
黒板が見ますか？,黒板が見えますか？
毎朝５時には、オキラない。,毎朝５時には、起きられない。
空手はでかない。,空手はできない。
韓国語を教ることができる。,韓国語を教えることができる。
１００m泳ぎことができる。,１００m泳ぐことができる。
野球のチームに入るて、良かったです。,野球のチームに入って、良かったです。
助けてあげてありがとう。,助けてくれてありがとう。
親切にしてあげて、ありがとう。,親切にしてくれて、ありがとう。
優しくしてあげて、ありがとう。,優しくしてくださって、ありがとう。
空港に、姉を迎えるに行く。,空港に、姉を迎えに行く。
父が迎えに来るくれた。,父が迎えに来てくれた。
友達のバースデーに、プレゼントを持ちていく。,友達のバースデーに、プレゼントを持っていく。
うちにクラブの部員を連れるくる。,うちにクラブの部員を連れてくる。
ペットショップに妹を連れる行く。,ペットショップに妹を連れて行く。
砂糖を入らないで、コーヒーを飲みます。,砂糖を入れないで、コーヒーを飲みます。
ホテルを予約すないで、旅行します。,ホテルを予約しないで、旅行します。
ゲームの答えを言いないで。,ゲームの答えを言わないで。
こっちを見らないで。,こっちを見ないで。
明日、うちに来らないで。,明日、うちにこないで。
雷だから、出かかないで。,雷だから、出かけないで。
卒寮できらかどうか心配だ。,卒業できるかどうか心配だ。
買い物に行狩るかどうか、わからない。,買い物に行けるかどうか、わからない。
午後から、雨が降りるかもしれない。,午後から、雨が降るかもしれない。
宿題は、する方がいい。,宿題は、した方がいい。
ここに、前にも来るはずだ。,ここに、前にも来たはずだ。
この問題は、前に教えるはずです。,この問題は、前に教えたはずです。
この靴は、履くやすい。,この靴は、履きやすい。
この帽子は、かぶるにくい。,この帽子は、かぶりにくい。
この道具は、使うやすい。,この道具は、使いやすい。
私は、忘れるぽい。,私は、忘れっぽい。
母は、怒るぽい。,母は、怒りっぽい。
初めて、アムステルダムといいところに行きました。,初めて、アムステルダムというところに行きました。
ここが昔は墓場だという話を聞いたことがありますか？,ここが昔は墓場だったという話を聞いたことがありますか？
友達が遊ぶに来たので、勉強をやめました。,友達が遊びに来たので、勉強をやめました。
母がうるさくので、家出をしました。,母がうるさいので、家出をしました。
窓が開きたままだった。,窓が開いたままだった。
エアコンがつけぱなしだった。,エアコンがつけっぱなしだった。
夕ご飯がテーブルの上に置きてあった。,夕ご飯がテーブルの上に置いてあった。
留守間に泥棒が入った。,留守の間に泥棒が入った。
出かける間に、友人がたづねに来たようだ。,出かけている間に、友人がたづねに来たようだ。
こんばんは、早い寝たい。,こんばんは、早く寝たい。
もっとスペイン語をペラペラと話すたい。,もっとスペイン語をペラペラと話したい。
もっとピアノが上手に弾いたらいいな。,もっとピアノが上手に弾けたらいいな。
亀は、遅い歩く。,亀は、遅く歩く。
静かに欲しい。,静かにしてほしい。
本を返ってほしい。,本を返してほしい。
部屋を明るくするほしい。,部屋を明るくしてほしい。
私が好きなことに気がつくほしい。,私が好きなことに気がついてほしい。
兄に部屋を掃除する貰った。,兄に部屋を掃除してもらった。
父に漫画を捨られた。,父に漫画を捨てられた。
呼ばったら、返事をして。,呼ばれたら、返事をして。
弟はいつもいじめれる,弟はいつもいじめられる。
妹に本を読みせる。,妹に本を読ませる。
孫に絵本を読みてあげる。,孫に絵本を読んであげる。
悪い社長は、部下を長時間働かさせる。,悪い社長は、部下を長時間働かせる。
悪い母は、子供に食べせない。,悪い母は、子供に食べさせない。
上司にご馳走さまなった。,上司にご馳走になった。
まだ、結婚すたくない。,まだ、結婚したくない。
結婚すたいけど、まだできない。,結婚したいけど、まだできない。
テレビしか見るのをやめなさい。,テレビばかり見るのをやめなさい。
もっと、運動さなさい。,もっと、運動をしなさい。
野菜を食べるなさい。,野菜を食べなさい。
温泉に入らば、リラックスできる。,温泉に入れば、リラックスできる。
怒りなければ、いい妻なんだけど。,怒らなければ、いい妻なんだけど。
見らば見るほど、美しい。,見れば見るほど、美しい。
嘘をつきてないのに、疑われた。,嘘をついていないのに、疑われた。
勉強しってないのに、１００点が取れた。,勉強してないのに、１００点が取れた。
スピルバーグのよう映画監督になりたい。,スピルバーグのような映画監督になりたい。
姉のよう、バイオリンが上手になりたい。,姉のように、バイオリンが上手になりたい。
魚のよう雲だ。,魚のような雲だ。
兄はいつも私に料理される。,兄はいつも私に料理させる。
母は、私にピーマンを食べさしました。,母は、私にピーマンを食べさせました。
私は母にピーマンを食べました。,私は母にピーマンを食べさせられました。
携帯を盗まらました。,携帯を盗まれました。
勉強しないでも、怒られない。,勉強しなくても、怒られない。
何をするも怒られる。,何をしても怒られる。
ピンクだなら、何でも欲しい。,ピンクなら、何でもほしい。
今は、何も欲しい。,今は、何も欲しくない。
どこにも行きたい。,どこにも行きたくない。
来週なら、いつもいいですよ。,来週なら、いつでもいいですよ。
ほか移動なら、どこかいいですよ。,北海道なら、どこでもいいですよ。
寒いところは、どこか行きたくない。,寒いところは、どこにも行きたくない。
高いたら、安くしますよ。,高かったら、安くしますよ。
漢字が覚えないんです。,漢字が覚えられないんです。
みんな、幸せにならたいです。,みんな、幸せになりたいです。
東京ようなうるさいところに住みたくない。,東京のようなうるさいところに住みたくない。
Amazonような大きい会社に、就職したい。,Amazonのような大きい会社に、就職したい。
忙しいに、文句も言いません。,忙しいのに、文句も言いません。
サーラさんは、綺麗のに、ふられてしまいました。,サーラさんは、綺麗なのに、ふられてしまいました。
どこらか、歌が聞こえてきます。,どこからか、歌が聞こえてきます。
毎朝、走りことにしています。,毎朝、走ることにしています。
毎日、ビタミンを取りことにしている。,毎日、ビタミンを取ることにしている。
今日は、何もしました。,今日は、何にもしませんでした。
今、無性に腹が立ちているんだ。,今、無性に腹が立っているんだ。
今、あまが降りています。,今、雨が降っています。
明日は、雪が降りるでしょう。,明日は、雪が降るでしょう。
昨日は、雷がなりましたでした。,昨日は、雷がなりました。
今日は、会社をユスメことにする。,今日は、会社を休むことにする。
明日、辞表を出せことにする。,明日、辞表を出すことにする。
運転免許を取るまで、ここに住めつもりです。,運転免許を取るまで、ここに住むつもりです。
卒業するまでに、教職の免許を取りたいですます。,卒業するまでに、教職の免許を取りたいです。
涙が枯れるまでに、泣きました。,涙が枯れるまで、泣きました。
遠くまでに、よく見えます。,遠くまで、よく見えます。
暗くなるまで、帰ります。,暗くなるまでには、帰ります。
静か人が好きです。,静かな人が好きです。
有名なになりたいです。,有名になりたいです。
家をきれいに掃除しましたです。,家をきれいに掃除しました。
失業して、暇なになりました。,失業して、暇になりました。
この映画は、面白いないです。,この映画は、面白くないです。
親の近いに住みたいです。,親の近くに住みたいです。
昨日の花火は、きれいかった。,昨日の花火は、きれいでした。
コンビニが出来たので、便利なです。,コンビニが出来たので、便利です。
駅まで遠いので、便利区ありません。,駅まで遠いので、便利じゃありません。
昔は、この町はにぎやかくなかった。,昔は、この町はにぎやかじゃなかった。
ランチは、安いじゃありませんでした。,ランチは、安くなかった。
こうは、気分が悪いじゃない。,今日は、気分が悪くない。
インドの音楽が大好きなだ。,インドの音楽が大好きだ。
トイレに行くも、いいですか？,トイレに行っても、いいですか？
今、トイレに行きました方がいい。,今、トイレに行ったほうがいい。
ロックを聞くてもいいですか？,ロックを聞いてもいいですか？
この時計は、古いない。,この時計は、古くない。
その態度は、いくない。,その態度は、よくない。
日本語のクラスは、９時に始める。,日本語のクラスは、９時に始まる。
先生は、授業を始まった。,先生は、授業を始めた。
ドアがひとりでに閉める。,ドアが、ひとりでに閉まる。
先生は、教室のドアを閉まった。,先生は、教室のドアを閉めた。
暑いから、窓を開いた。,暑いから、窓を開けた。
コンビニのドアが自動で開けた。,コンビニのドアが自動で開いた。
もう寝る時間なので、電気を消えた。,もう寝る時間なので、電気を消した。
停電で、電気が消した。,停電で、電気が消えた。
暗いので、電気をついた。,暗いので、電気をつけた。
停電が治って、電気がつけた。,停電が直って、電気がついた。
妹が起きないので、起こった。,妹が起きないので、起こした。
昨晩眠なかったから、眠い。,昨晩眠れなかったから、眠い。
学校を休んだから、頭がいたい。,頭がいたいから、学校を休んだ。
モールに行ったので、新しい服を買いたい。,新しい服を買いたいから、モールに行った。
口をきかなかったので、友達と喧嘩した。,友達と喧嘩したので、口をきかなかった。
食べてが遅い。,食べるのが遅い。
ジュースを飲んでが、速い。,ジュースを飲むのが、速い。
遅い寝た。,遅く寝た。
いつもより早い起きた。,いつもより早く起きた。
毎日、忙しい働いている。,毎日、忙しく働いている。
あの家は、新しい見える。,あの家は、新しく見える。
この曲は、悲しい聞こえる。,この曲は、悲しく聞こえる。
今日も、母の料理を美味しいいただきました。,今日も、母の料理を美味しくいただきました。
卒業式に泣けかもしれない。,卒業式に泣くかもしれない。
この漫画は、よい売れています。,この漫画は、よく売れています。
ピアノの練習をしたいない。,ピアノの練習をしたくない。
魔人は、小さいになった。,魔人は、小さくなった。
小人は、大きいになった。,小人は、大きくなった。
高価レストランの食べ物は美味しい。,高価なレストランの食べ物は美味しい。
あの上品人は、私の祖母だ。,あの上品な人は、私の祖母だ。
壊れた机は、元に戻るない。,壊れた机は、元に戻せない。
私の着物を着ってください。,私の着物を着てください。
ここに来ってください。,ここに来てください。
豆腐を切てください。,豆腐を切ってください。
大人の言うことを聞って。,大人の言うことを聞いて。
プールで泳ぎで。,プールで泳いで。
急がないと、遅れらるよ。,急がないと、遅れるよ。
黒板をよく見って。,黒板をよく見て。
弟と遊びて。,弟と遊んで。
祖母は、韓国に帰りて行った。,祖母は、韓国に帰って行った。
父は短気で、待つしない。,父は短気で、待ったりしない。
夏に、泳ぎたりジョギングしたりした。,夏に、泳いだりジョギングしたりした。
祖父は、いつも健康的なです。,祖父は、いつも健康的です。
一般的なに言って、地球は温暖化です。,一般的に言って、地球は温暖化です。
学校自慢は、物を大切していることです。,学校自慢は、物を大切にしていることです。
私の趣味は、本を読みことです。,私の趣味は、本を読むことです。
毎週月曜日は、塾がいます。,毎週月曜日は、塾があります。
毎週土曜日にスタバでバイトしました。,毎週土曜日にスタバでバイトしています。
明日学校の後、ヨガのクラスに行きました。,明日学校の後、ヨガのクラスに行きます。
月曜日まで金曜日から、野球の試合があります。,月曜日から金曜日まで、野球の試合があります。
あのは、私の宝物です。,あれは、私の宝物です。
そのは、あなたのパソコンですか？,それは、あなたのパソコンですか？
このは、下町です。,ここは、下町です。
あこは、校長先生の部屋です。,あそこは、校長先生の部屋です。
そのは、事務室です。,そこは、事務室です。
明日、映画を見るに行きませんか？,明日、映画を見に行きませんか？
今週末、デートましょう。,今週末、デートしましょう。
朝から晩まで、働きています。,朝から晩まで、働いています。
白い帽子をかぶりています。,白い帽子をかぶっています。
黄色いドレスを着っています。,黄色いドレスを着ています。
黒いブーツを履きています。,黒いブーツを履いています。
短いスカートを履っています。,短いスカートを履いています。
茶色のサングラスをかけっています。,茶色のサングラスをかけています。
水玉のネクタイをしっています。,水玉のネクタイをしています。
金のネックレスをすています。,金のネックレスをしています。
Nikeのスニーカーを履くています。,Nikeのスニーカーを履いています。
大きいのバッグを持っています。,大きいバッグを持っています。
彼女のファッションは、地味なすぎます。,彼女のファッションは、地味すぎます。
帽子が大きいすぎます。,帽子が大きすぎます。
靴が小さなすぎます。,靴が小さすぎます。
彼のファッションは、アデナすぎます。,彼のファッションは、派手すぎます。
今朝は、寝るすぎました。,今朝は、寝すぎました。
食べるすぎて、お腹が苦しいです。,食べ過ぎて、お腹が苦しいです。
外に、犬が３匹あります。,外に、犬が３匹います。
駐車場に車が５個あります。,駐車場に車が５台あります。
可愛い女の子が二ついます。,可愛い女の子が二人います。
筆箱の中ん、鉛筆が４本います。,筆箱の中に、鉛筆が４本あります。
棚に教科書が１０本あります。,棚に教科書が１０冊あります。
動物園で、象を５羽見ました。,動物園で、象を５頭見ました。
鳥が３匹空を飛んでいます。,鳥が３羽空を飛んでいます。
もう１台コーヒーをください。,もう１杯コーヒーをください。
テストの用紙が３個足りません。,テストの用紙が３枚足りません。
今度の数学の先生は、厳しみたいです。,今度の数学の先生は、厳しいみたいです。
まだ、ランチを食べましたか？,もう、ランチを食べましたか？
いいえ、もう食べていません。,いいえ、まだ食べていません。
母は、テニスが好きなで、上手です。,母は、テニスが好きで、上手です。
このシャツは、２枚して３００円です。,このシャツは２枚で３００円です。
日本語は面白いで楽しいです。,日本語は、面白くて楽しいです。
朝ごはんを食べって、新聞を読みます。,朝ごはんを食べて、新聞を読みます。
母は、花に水を差し上げます。,母は、花に水をやります。
妹は、犬に餌をもらいます。,妹は、犬に餌をあげます。
祖父は、古いです。,祖父は、年を取っています。
兄は、太いです。,兄は、太っています。
公園に歩きていきます。,公園に歩いていきます。
うちに走りて帰ります。,うちに走って帰ります。
風の薬を飲みて寝ます。,風邪の薬を飲んで寝ます。
今朝は、温度が寒いです。,今朝は、温度が低いです。
赤帽子を買いました。,赤い帽子を買いました。
姉は、背が大きいです。,姉は、背が高いです。
母は、背が小さいです。,母は、背が低いです。
マイケルは、頭が良いで、背が高いです。,マイケルは、頭が良くて、背が高いです。
スポーツは苦手くて上手じゃありません。,スポーツは、苦手で上手じゃありません。
早い大学生になりたいです。,早く大学生になりたいです。
私はみんな、高校生です。,私たちはみんな、高校生です。
晩御飯に何も食べました。,晩御飯に何も食べませんでした。
朝ごはんに何も飲みました。,朝ごはんに、何も飲みませんでした。
夏休みにどこへも行きました。,夏休みにどこへも行きませんでした。
夕方６時ごろ伺うます。,夕方６時ごろ伺います。
この魚は、１ポンドごろありそうです。,この魚は、１ポンドぐらいありそうです。
夏は、９時ごろぐらい暗くなります。,夏は、９時ごろ暗くなります。
先月、アフリカに旅行します。,先月、アフリカに旅行しました。
母の日は、毎年５月の第２日曜日でした。,母の日は、毎年５月の第２日曜日です。
ニューヨークまで、車で何時間ごろですか？,ニューヨークまで、車で何時間ぐらいですか？
熱がいます。,熱があります。
風邪をひきています。,風邪をひいています。
父は４０歳ですでも、母は３５歳です。,父は４０歳で、母は３５歳です。
全然寿司を食べます。,全然寿司を食べません。
あまりソーダを飲みます。,あまりソーダを飲みません。
もう直ぐ、仕事に行きました。,もう直ぐ、仕事に行きます。
これから、いい子になりました。,これから、いい子なります。
それは、残念かったね。,それは、残念でしたね。
また、お会いするのを楽しみます。,また、お会いするのを楽しみにしています。
暑いので、元気区ありません。,暑いので、元気じゃありません。
ラザニアは、とても美味しいでした。,ラザニアは、とても美味しかった。
何生ですか？,何年生ですか？
いくつ歳ですか？,何歳ですか？
何音楽が好きですか？,どんな音楽が好きですか？
なんどしですか？,なにどしですか？
ご家族はなんですか？,ご家族は何人ですか？
教会に行きて、友達に会います。,教会に行って、友達に会います。
友達と遊びたり、映画を見たりしました。,友達と遊んだり、映画を見たりしました。
昨日はとても楽しいでした。,昨日はとても楽しかったです。
私のうちは、大きいで新しいです。,私のうちは、大きくて新しいです。
近いにコンビニがあります。,近くにコンビニがあります。
窓から、遠いに山が見えます。,窓から、遠くに山が見えます。
一昨日は、暇くてつまらなかった。,一昨日は、暇でつまらなかった。
昨日は、忙しいで大変だった。,昨日は、忙しくて大変だった。
昨日は暑いでしたけど、楽しかった。,昨日は暑かったけど、楽しかった。
化学の先生は厳しいけど、いい先生だです。,化学の先生は厳しいけど、いい先生だ。
芝生に入らな。,芝生に入るな。
危険だから、近づきな。,危険だから、近づくな。
ここで、止めれ。,ここで、止まれ。
運転中は、前をよく見れ。,運転中は、前をよく見ろ。
タバコを吸いな。,タバコを吸うな。
先生がもう直ぐいらしてる。,先生がもう直ぐいらっしゃる。
猫の下に椅子がいます。,椅子の下に猫がいます。
ピアノの中に部屋があります。,部屋の中にピアノがあります。
犬の外にうちがいます。,うちの外に犬がいます。
女優の上に、舞台がいます。,舞台の上に、女優がいます。
