誤用,訂正文
こにちは。,こんにちは。
どもありがとう。,どうもありがとう。
おはいようございます。,おはようございます。
天気がよくじゃないです。,天気がよくないです。
天気はいいでした。,天気はよかったです。
このケーキはおいしいじゃないです。,このケーキはおいしくないです。
このケーキはおいしいじゃないでした。,このケーキはおいしくなかったです。
このケーキはおいしくなかったでした。,このケーキはおいしくなかったです。
このケーキはおいしくありませんです。,このケーキはおいしくありません。
日本語はたのしです。,日本語はたのしいです。
私のへやはきれいくないです。,私のへやはきれいじゃないです。
私は大学の学生です。,私は大学生です。
私はスミスさんです。,私はスミスです。
私は学生でわありません。,私は学生ではありません。
先生山下は日本人です。,山下先生は日本人です。
私はにくを食べませんです。,私はにくを食べません。
家に五時ごろ行きます。,家に五時ごろ帰ります。
レストラントでひるごはんを食べました。,レストランでひるごはんを食べました。
きのう七時半間ねました。,きのう七時間半ねました。
かばんを買い物しました。,かばんを買いました。
さむいコーヒーをください。,つめたいコーヒーをください。
大学は元気です。,大学はにぎやかです。
およぐに行きました。,およぎに行きました。
今日、先生のオフィスに来ます。,今日、先生のオフィスに行きます。
としょうかんで勉強します。,としょかんで勉強します。
いしょうに勉強しませんか。,いっしょに勉強しませんか。
いしょに勉強しませんか。,いっしょに勉強しませんか。
いっしょに勉強しましょか。,いっしょに勉強しましょうか。
クラスで音楽をきてもいいですか。,クラスで音楽をきいてもいいですか。
クラスで音楽をききてもいいですか。,クラスで音楽をきいてもいいですか。
バスにのて、大学に行きます。,バスにのって、大学に行きます。
いもうとがあります。,いもうとがいます。
二いもうとがいます。,いもうとが二人います。
明日、テストはあらないと思います。,明日、テストはないと思います。
本をかりってもいいですか。,本をかりてもいいですか。
私はいそがしいないです。,私はいそがしくないです。
私はひまじゃなかったでした。,私はひまじゃなかったです。
会社につとめます。,会社につとめています。
ごろ七時におきます。,七時ごろにおきます。
友だちはきれいでも、こわいです。,友だちはきれいですけど、こわいです。
小さいな町です。,小さな町です。
私の家にきってください。,私の家にきてください。
先生はやさしいだと思います。,先生はやさしいと思います。
明日、大学へ行くつもります。,明日、大学へ行くつもりです。
勉強したつもりです。,勉強するつもりでした。
友だちに会いて、話しました。,友だちに会って、話しました。
友だちに会て、話しました。,友だちに会って、話しました。
友だちを見て、話しました。,友だちに会って、話しました。
えきの南口を出って、まっすぐ行ってください。駅の南口を出て、まっすぐ行ってください。,
この道を右に行いてください。,この道を道に行ってください。
ごはんはおいしくなかたです。,ごはんはおいしくなかったです。
ごはんはあまりおいしかったです。,ごはんはあまりおいしくなかったです。
これはおもしろいなの？,これはおもしろいの？
この本、おもしろいか？,この本、おもしろい？
安いだから、いいです。,安いから、いいです。
この本はおもしろくて、よかったでした。,この本はおもしろくて、よかったです。
この本はおもしろいくて、よかったです。,この本はおもしろくて、よかったです。
学校に早い行かなければいけません。,学校に早く行かなければいけません。
どっちのほうが人気があるですか。,どっちのほうが人気がありますか。
夏と冬とどちらのほうが一番好きですか。,夏と冬とどちらのほうが好きですか。
食べ物の中で、どちらが一番好きですか。,食べ物の中で、どれが一番好きですか。
有名のは、大学です。,有名なのは、大学です。
日曜日に働きなければいけません。,日曜日に働かなければいけません。
日曜日に働くなきゃいけません。,日曜日に働かなければいけません。
パソコンを使うすぎたので、つかれました。,パソコンを使いすぎたので、つかれました。
パソコンを使いすぎので、つかれました。,パソコンを使いすぎたので、つかれました。
かぜをひきたので、休みます。,かぜをひいたので、休みます。
天気よほうは、雨だと言ていました。,天気よほうは、雨だと言っていました。
家がきれいくなりました。,家がきれいになりました。
男の子が大きいになりました。,男の子が大きくなりました。
これくつはやすいです。,このくつはやすいです。
あれ人はだれですか。,あの人はだれですか。
先生はきれい人です。,先生はきれいな人です。
たばこをしてはいけません。,たばこをすってはいけません。
友だちとゲームをあそびました。,友だちをゲームをしました。
友だちは家にきないと思います。,友だちは家にこないと思います。
友だちは歌が上手と思います。,友だちは歌が上手だと思います。
これをきらないでください。,これを着ないでください。
クラスが九時に始めた。,クラスが九時に始まった。
友だちは、歌っています人です。,友だちは、歌っている人です。
本を読む人はだれですか。,本を読んでいる人はだれですか。
山下さんを知りますか。,山下さんを知っていますか。
山下さんを知っていません。,山下さんを知りません。
まだひるごはんを食べません。,まだひるごはんを食べていません。
あるいてで、大学に来ました。,あるいて、大学に来ました。
ひまな時、テレビを見たり、本を読んだりです。,ひまな時、テレビを見たり、本を読んだりします。
しゅくだいをするほうがいいですよ。,しゅくだいをしたほうがいいですよ。
日本語の作文を書きたことがあります。,日本語の作文を書いたことがあります。
つかれているだから、今日は出かけません。,つかれているから、今日はでかけません。
勉強するから、明日テストがあります。,明日テストがあるから、勉強します。
今日、うんどうしませんでしょう。,今日、うんどうしないでしょう。
飲みものを連れてきてください。,飲みものを持ってきてください。
友だちを持ってきてもいいですか。,友だちを連れてきてもいいですか。
今、日本に住みます。,今、日本に住んでいます。
友だちはめがねをかけます。,友だちはめがねをかけています。
この本を読んでおねがいします。,この本を読んでください。
ピアノをひくが上手です。,ピアノをひくのが上手です。
二月間、日本にいました。,二か月間、日本にいました。
あたたかくになりました。,あたたかくなりました。
きれいくなりました。,きれいになりました。
六歳の女です。,六歳の女の子です。
私の先生は、あのズボンをはいている男です。,私の先生は、あのズボンをはいている男の人です。
友だちは長いかみがあります。,友だちは、かみが長いです。
一つしかあります。,一つしかありません。
テストで０点をもらいました。,テストで０点をとりました。
何じゅぎょうをとっていますか。,どの授業をとっていますか。
明日は雨がふりませんでしょう。,明日は雨がふらないでしょう。
明日ははれでしょうと思います。,明日ははれだろうと思います。
大きいばんごはんを食べました。,ばんごはんをたくさん食べました。
友だちはやさしいとおもしろいです。,友だちはやさしくておもしろいです。
このくつは人気ので、高いです。,このくつは人気なので、高いです。
食べすぎるないほうがいいですよ。,食べすぎないほうがいいですよ。
都合がわるいので、行かれません。,都合がわるいので、行けません。
水をもっと飲むほしいです。,水をもっと飲みたいです。
犬を持っていますか。,犬をかっていますか。
この本を読んでいただきませんか。,この本を読んでいただけませんか。
おいしいそうなクッキーです。,おいしそうなクッキーです。
勉強する間に、ねてしまった。,勉強している間に、ねてしまった。
私は社長にお会いになりました。,私は社長にお会いしました。
きょうかしょうをかえしてください。,きょうかしょをかえしてください。
きょかしょをかえしてください。,きょうかしょをかえしてください。
きょうかしょをかえてください。,きょうかしょをかえしてください。
きょうかしょをかりますおねがいします。,きょうかしょをかえしてください。
きょうかしょをかえりってください。,きょうかしょをかえしてください。
おんがくをきけてましょうか。,おんがくをききましょうか。
おんがくをききましょか。,おんがくをききましょうか。
おんがくをきてもいいですか。,おんがくをきいてもいいですか。
こんしゅはいそがしいです。,こんしゅうはいそがしいです。
こんしゅうはいそがしかたです。,こんしゅうはいそがしかったです。
ぜんぜんひまじゃないかったです。,ぜんぜんひまじゃなかったです。
からたくさんテストがあります。,たくさんテストがありますから。
テレバを見ます。,テレビを見ます。
テルビを見ます。,テレビを見ます。
テレベを見ます。,テレビを見ます。
さしんをとってはいけません。,しゃしんをとってはいけません。
しゃしんをとりってはいけません。,しゃしんをとってはいけません。
しゃしんをとっではいけません。,しゃしんをとってはいけません。
しゃしんをとりはいけません。,しゃしんをとってはいけません。
先生にあいって、話しました。,先生にあって、話しました。
まどをあけないほがいいですよ。,まどをあけないほうがいいですよ。
かぜをひいたなほうがいいですよ。,かぜをひかないほうがいいですよ。
かぜをひたないほうがいいですよ。,かぜをひかないほうがいいですよ。
かぜをひかなほうがいいですよ。,かぜをひかないほうがいいですよ。
友だちは先生になりたいといでいました。,友だちは先生になりたいと言っていました。
友だちは先生になりたいといたいました。,友だちは先生になりたいと言っていました。
友だちは先生になたいと言っていました。,友だちは先生になりたいと言っていました。
友だちはお金持ちな人になりたいと言っていました。,友だちはお金持ちになりたいと言っていました。
大学までどうやってかかりますか。,大学までどのぐらいかかりますか。
大学までどうのぐらいかかりますか。,大学までどのぐらいかかりますか。
日本まで何時間ぐらい行きますか。,日本まで何時間ぐらいかかりますか。
日本語のじゅうぎょうをとるつもりです。,日本語のじゅぎょうをとるつもりです。
日本語のじゅぎょうをとりつもりです。,日本語のじゅぎょうをとるつもりです。
早くおきってください。,早くおきてください。
歌すぎました。,歌いすぎました。
歌いすぎから、のどがいたいです。,歌いすぎたから、のどがいたいです。
歌うしたから、のどがいたいです。,歌いすぎたから、のどがいたいです。
歌すぎでした。,歌いすぎでした。
歌うすぎから、のどがいたいです。,歌いすぎたから、のどがいたいです。
歌ったすぎるので、のどがいたいです。,歌いすぎたから、のどがいたいです。
この中でだれがのほうが一番せがたかいですか。,この中でだれが一番せがたかいですか。
じゅぎょうの中で、だれが一番せがひくいですか。,クラスの中で、だれが一番せがひくいですか。
クラスの中でいちばんせがたかいですか。,クラスの中で、だれがいちばんせがたかいいですか。
世界の国の中で、何がいちばん大きいですか。,世界の国の中で、どこがいちばん大きいですか。
車よりバスのほがおそいです。,車よりバスのほうがおそいです。
車のほうがバースよりはやいです。,車のほうがバスよりはやいです。
車よりバスのほうがいちばんおそいです。,車よりバスのほうがおそいです。
車のほうがバスよりたくさんはやいです。,車のほうがバスよりずっとはやいです。
やきゅうとサーカーとどちらのほうが人気がありますか。,やきゅうとサッカーとどちらのほうが人気がありますか。
やきゅうとサッカーとどっちらのほうが人気がありますか。,やきゅうとサッカーとどちらのほうが人気がありますか。
やきゅうとサカーとどちらのほうが人気がありますか。,やきゅうとサッカーとどちらのほうが人気がありますか。
やきゅうとサーカとどちらのほうが人気がありますか。,やきゅうとサッカーとどちらのほうが人気がありますか。
今度、お金持ちになりたいです。,しょうらい、お金持ちになりたいです。
とうしたの？,どうしたの？
どうしたんの？,どうしたの？
どしたの？,どうしたの？
かのじょうと別れました。,かのじょと別れました。
かのじょとわかたんだ。,かのじょと別れたんだ。
かのじょとわかれんだ。,かのじょと別れたんだ。
英語が上手な人がある。,英語が上手な人がいる。
英語が上手じゃありませんと思います。,英語が上手じゃないと思います。
英語が上手じゃありませんだと思います。,英語が上手じゃないと思います。
英語が上手じゃありません人がいます。,英語が上手じゃない人がいます。
みんな英語をわかれないでしょう。,みんな英語がわからないでしょう。
このアルバイトは交通費がありますか。,このアルバイトは交通費が出ますか。
このアルバイトは交通費を出しますか。,このアルバイトは交通費が出ますか。
このアルバイトは交通費をあたえますか。,このアルバイトは交通費が出ますか。
このアルバイトは交通費ができますか。,このアルバイトは交通費が出ますか。
アルバイトをさがするんので、教えてください。,アルバイトを探しているので、教えてください。
アルバイトをさがしんだ。,アルバイトを探しているんだ。
アルバイトをさがす。,アルバイトをさがしています。
時給はいくらか？,時給はいくら？
考えさせてもらいませんか。,考えさせてもらえませんか。
（私に）考えていただけませんか。,（私に）考えさせていただけませんか。
少し考えていましょう。,少し考えてみましょう。
もう少し考えもらえます。,もう少し考えさせてもらえませんか。
（私に）考えてみてください。,（私に）考えさせてください。
もう少し考えるみます。,もう少し考えてみます。
ばしょうはどこですか。,場所はどこですか。
英語を話しませんですから、わかりません。,英語を話しませんから、わかりません。
マフラーはいいか？,マフラーはどう？
チョコレートをかいばいい？,チョコレートを買えばいい？
犬をあげってはどう？,犬をあげるのはどう？
本なかどう？,本なんかどう？
かばんを買って、どう？,かばんを買うのはどう？
友だちから聞きたんだけど、本当？,友だちから聞いたんだけど、本当？
病院の予定があります。,病院の予約があります。
病院の待ち合わせがあります。,病院の予約があります。
道がこめる。,道がこんでいる。
道がこむかもしりない。,道がこむかもしれない。
時間について、道は込んでいます。,時間によって、道は込んでいます。
時間帯による道が込んでいます。,時間帯によって、道は込んでいます。
道が込むだけど、大丈夫ですか。,道が込みますけど、大丈夫ですか。
道が込むかもしれませんだけど、時間帯によります。,道が込むかもしれませんけど、時間帯によります。
時間てきによります。,時間帯によります。
道がこむになる。,道が込む。
欠席していただければありがたいです。,欠席させていただければありがたいです。
欠席させていただくとありがたいんですが。,欠席させていただけるとありがたいんですが。
欠席させていただければあんしんします。,欠席させていただければありがたいです。
欠席にならせてもらえませんか。,欠席させてもらえませんか。
欠席にもらえさせてくれませんか。,欠席させてもらえませんか。
欠席してもらてありがたいんですが。,欠席させてもらえるとありがたいんですが。
欠席させてありがたいんです。,欠席させていただけるとありがたいんですが。
お休ませていただけますか。,お休みさせていただけますか。
車で行くとバスで行くとどっちのほうがいいと思う？,車で行くのとバスで行くのとどっちのほうがいいと思う？
もしいいだったら、参加させてください。,もしよかったら、参加させてください。
どうやって行けばきめられないんだ。,どうやって行くか決められないんだ。
ねだんは高いすぎる。,ねだんは高すぎる。
どっちかえば、しんかんせんのほうがいい。,どっちかと言えば、しんかんせんのほうがいい。
どっちの言えば、しんかんせんのほうがいいかもしれない。,どっちかと言えば、しんかんせんのほうがいいかもしれない。
どっちを言えば、しんかんせんのほうがいい。,どっちかと言えば、しんかんせんのほうがいい。
行くみましょう。,行ってみましょう。
しんかんせんで行くにしよう。,しんかんせんで行くことにしよう。
じゅうたいもあってかもしれない。,じゅうたいもあるかもしれない。
ずっと早いとかくじつだ。,ずっと早くてかくじつだ。
どうやって行くか、決めない。,どうやっていくか、決めていない。
東京に行くか、迷んでいます。,東京に行くか、迷っています。
しんかんせんは便利だけど、たくさん高い。,しんかんせんは便利だけど、とても高い。
車で行くこときめる。,車で行くことにする。
やさしいとおもしろい人が好きです。,やさしくておもしろい人が好きです。
書くがたのしいです。,書くのがたのしいです。
私は先生になりたいでした。,私は先生になりたかったです。
これからいろいろなところに行くつもりたいです。,これからいろいろなところに行きたいです。
ゲームたり、テニスたりします。,ゲームしたり、テニスしたりします。
みんなさん、ゲームをしましょう。,みなさん、ゲームをしましょう。
家に帰りたいてもいいです。,家に帰ってもいいです。
ぜんぜんたばこをすって、あまりおさけを飲みません。,ぜんぜんたばこをすわなくて、あまりおさけを飲みません。
友だちがありたいです。,友だちになりたいです。
たのし人がいいです。,たのしい人がいいです。
りょうこするのが好きです。,りょこうするのが好きです。
りょこうしるのが好きです。,りょこうするのが好きです。
ごはんを料理しました。,ごはんを作りました。
まだ日本に行きません。,まだ日本に行ったことがありません。
日本に行きますことがありません。,日本に行ったことがありません。
日本に行くことがありません。,日本に行ったことをがありません。
ガームをするのが好きです。,ゲームをするのが好きです。
私のせんこは日本語です。,私のせんこうは日本語です。
今、午後二時です。,今、二時午後です。
シアトル、ワシントンのしゅっしんです。,ワシントンのシアトルのしゅっしんです。
何ゲームをしますか。,どんなゲームをしますか。
友だちに会ったり、ゲームをしったりしました。,友だちに会ったり、ゲームをしたりました。
ケーキを作りたりします。,ケーキを作ったりします。
ケーキを作ったります。,ケーキを作ったりします。
おしえてしませんか。,おしえてくれませんか。
料理を作ってはおしえてくれませんか。,料理の作り方をおしえてくれませんか。
シカゴまで運転しました。,シカゴまで車で行きました。
日本に住んでほしい。,日本に住みたい。
およぎが好きです。,およぐのが好きです。
およがするのが好きです。,およぐのが好きです。
この町はいそがしいです。,この町はにぎやかです。
今日の天気は、暑いです。,今日は、暑いです。
友だちはけっこんしません。,友だちはけっこんしていません。
友だちが車を持てる。,友だちが車を持っている。
大学に行きたなかった。,大学に行きたくなかった。
明日、大学に行きませんでしょう。,明日、大学に行かないでしょう。
私のしゅみは、映画や本を読みます。,私のしゅみは、映画や読書です。
日本語で話すことができたい。,日本語で話せるようになりたい。
日本語の勉強をいたしたいです。,日本語の勉強をしたいです。
父は私にプレゼントをあげるかもしれません。,父は私にプレゼントをくれるかもしれません。
本を買うと思っています。,本を買おうと思っています。
明日、しゅくだいを持ってください。,明日、しゅくだいを持ってきてください。
勉強するとき、友だちから電話がありました。,勉強しているとき、友だちから電話がありました。
大学を卒業する後、日本で働きたいです。,大学を卒業してから、日本で働きたいです。
私が先生を手伝ってあげます。,私が先生のお手伝いをします。
友だちがご飯を作ってもらいました。,友だちがご飯を作ってくれました。
服がよごしました。,服がよごれました。
銀行は九時に開けると思います。,銀行は九時に開くと思います。
私のパソコンはこわしてしまいました。,私のパソコンはこわれてしまいました。
社長がお話していらっしゃいます。,社長が話していらっしゃいます。
社長がこれをくださりました。,社長がこれをくださいました。
どうぞお座ってください。,どうぞ座ってください。
私は社長とお話になりました。,私は社長とお話しいたしました。
みなさんは社長を知っておりますか。,みなさんは社長をご存知ですか。
これは大事なことと思う。,これは大事なことだと思う。
たくさん人が思っている。,多くの人が思っている。
自分で掃除しなければいけない意見に賛成だ。,自分で掃除しなければいけないという意見に賛成だ。
部屋はきたないで、ゴミがたくさんある。,部屋はきたなくて、ゴミがたくさんある。
日本のドラマは人気があるだよ。,日本のドラマは人気があるよ。
他のすすめがありますか。,他のおすすめがありますか。
アニメはかっこよかったと思って、もっと見たかった。,アニメはかっこいいと思って、もっと見たかった。
いつ漫画を読むのがはじまった？,いつ漫画を読み始めた？
ゲームが好きし、おもしろそうだから、ゲームの会社で働きたい。,ゲームが好きだし、おもしろそうだから、ゲームの会社で働きたい。
その歌のおかげで、今も日本の歌を聞いている。,その歌がきっかけで、今も日本の歌を聞いている。
どんな会社で働きたいわからない。,どんな会社で働きたいかがわからない。
とても楽しくて、もっと勉強したかった。,とても楽しくて、もっと勉強したくなった。
できる場合、東京にも行きたい。,できたら、東京にも行きたい。
その経験のせいで、スペイン語を勉強したくない。,その経験のせいで、スペイン語を勉強したくなくなった。
ご飯に野菜が入りました。,ご飯に野菜が入っていました。
アレルギーがあってしまいました。,アレルギーが出てしまいました。
いつ先生のオフィスに行きますか。,いつ先生のオフィスに行ったらいいですか。
手伝って、ありがとうございました。,手伝ってくれて、ありがとうございました。
同僚に迷惑をかけてから、休みを取らない。,同僚に迷惑をかけるから、休みを取らない。
同僚に迷惑をかけてなために、休みを取らない。,同僚に迷惑をかけないために、休みを取らない。
同僚に不便のことをほしくない。,同僚に迷惑をかけたくない。
同僚に迷惑をかけないので、休みを取らない。,同僚に迷惑をかけたくないので、休みを取らない。
同僚に迷惑をいると思います。,同僚に迷惑をかけると思います。
休みをあまり取らないと書いています。,休みをあまり取らないと書いてあります。
勉強を強制させた。,勉強を強制された。
大学生はあまり勉強しないだと言っている。,大学生はあまり勉強しないと言っている。
同僚は働くといっしょに人です。,同僚はいっしょに働く人です。
同僚は人といっしょに働くことです。,同僚はいっしょに働く人です。
会社員になるとき、休みを取らない。,会社員になったとき、休みを取らない。
来学期の終わりの前に、専攻を決める必要がある。,来学期が終わるまでに、専攻を決める必要がある。
デザインは私にもっとおもしろい。,私にはデザインのほうがもっとおもしろい。
日本語の授業をできない。,日本語の授業を取ることができない。
日本語の授業を取られる。,日本語の授業を取ることができる。
十三歳の後で待った方がいい。,十三歳まで待った方がいい。
携帯の機能は、メッセージとかけるで十分だろう。,携帯の機能は、メッセージと通話で十分だろう。
子どもに携帯を与えたほうがよいではないかと思う。,子どもに携帯を与えたほうがよいのではないかと思う。
育つ仕方が一番大切な点だ。,育ち方が一番大切な点だ。
いろいろな国の学費について調べるの後、アメリカの学費がとても高いことがわかった。,いろいろな国の学費について調べ、アメリカの学費がとても高いことがわかった。
いろいろな国の学費について研究の後、アメリカの学費がとても高いことがわかった。,いろいろな国の学費について調べ、アメリカの学費がとても高いことがわかった。
アメリカの大学の学費を安くになりたい。,アメリカの大学の学費が安くなってほしい。
ときどきニュースで殺人犯はテレビゲームが好きだったということだ。,ときどきニュースで殺人犯はテレビゲームが好きだったと聞くことがある。
そんな簡単に説明を言えないそうだ。,そんな簡単に説明ができないそうだ。
その考えは正しいか。,その考えは正しいだろうか。
子どもがゲームで暴力に慣れるのだとは思われない。,子どもがゲームで暴力に慣れるのだとは思わない。
子どもがゲームで暴力に慣れるのこと思わない。　,子どもがゲームで暴力に慣れるのだとは思わない。
子どもは禁止なことを簡単に手に入れられる。,子どもは禁止されているものを簡単に手に入れられる。
親が子供を育つ。,親が子供を育てる。
そのために、多くの親が子供をバイリンガルに育てる。,そのために、多くの親が子供をバイリンガルに育てるのだ。
先生の研究によると、お酒が脳に損傷を与えるかもしれない。,先生の研究によると、お酒が脳に損傷を与えるかもしれないということだ。
ブラウンは、クラブ活動が大切だと述べる。,ブラウンは、クラブ活動が大切だと述べている。
この報告によると、子供が賢くなる。,この報告によると、子供が賢くなるそうだ。
18歳の人はたばこを買われる。,18歳の人はたばこを買うことができる。
お酒を飲むの責任は重い。,お酒を飲むことの責任は重い。
全く食べないになる。,全く食べなくなる。
それは体によくないになるからだ。,それは体によくないからだ。
私はおいしい食べ物を作れると考えられる。,私はおいしい食べ物を作れると思う。
たばこをすわないのは重要なということだ。,たばこをすわないのは重要だということだ。
健康食事を三回取る。,健康的な食事を三回取る。
毎日、健康的な食事を三つ取る。,毎日、健康的な食事を三回取る。
食事を食べる。,食事を取る。
しっかり食べなければ、いい成績を取らない。,しっかり食べなければ、いい成績を取ることができない。
眠いになる。,眠くなる。
一の一番重要なことだ。,一番重要なことの一つだ。
自分で料理すると、十年間に長く生きられるそうだ。,自分で料理すると、十年長く生きられるそうだ。
自分で料理すると、十年もっと住められるそうだ。,自分で料理すると、十年長く生きられるそうだ。
数か月の後で、あまり食べたくなくなった。,数か月後には、あまり食べたくなくなった。
夜の時、安全だと感じた。,夜に安全だと感じた。
夜に無事だと感じた。,夜に安全だと感じた。
あの映画はおもしろいと思っている。,あの映画はおもしろいと思う。
私はさかなが好きだと思う。,私はさかなが好きだ。
危なくなかったと思った。,危ないと思わなかった。
とても安全だと思って考える。,とても安全だと思う。
これをためしよう。,これをためそう。
その人次第ではないか。,その人次第ではないだろうか。
このゲームは八歳から十五歳まで向けだ。,このゲームは八歳から十五歳向けだ。
アニメを見ることが、日本語をよくになった手伝いだ。,アニメを見ることが、日本語上達の手助けとなった。
文化をわかるになった。,文化がわかるようになった。
いいアニメもだと思う。,これもいいアニメだと思う。
週末はレストランにつとめている。,週末はレストランでアルバイトをしている。
家でしゅくだいを勉強する。,家でしゅくだいをする。
それは、21歳から投票ができる。,それは、21歳から投票ができるからだ。
料理ができるや、車を運転するなどできる。,料理したり、車の運転をしたりなどすることができる。
使い方は違うだ。,使い方は違う。
友だちに歌われました。,友だちに歌わされました。
日本語を使わない、すみません。,日本語を使わなくてすみません。
月曜日には来れなかったのは、風邪をひいてしまって、すみませんでした。,月曜日に風邪をひいて来られなくてすみませんでした。
テストは、先生のオフィスと教室、どこのほうで受けますか。,テストは、先生のオフィスと教室、どちらで受けますか。
次の授業は1時１０分に始めます。,次の授業は1時１０分に始まります。
相手を決められていい知りません。,相手を決めてもいいか知りません。
エラーからかもしれません。,エラーだからかもしれません。
いつ試験を受けりますか。,いつ試験を受けることができますか。
授業を取ることをしなければいけない。,授業を取らなければいけない。
友だちに預かれました。,友だちに預けられました。
これをご覧になるとありがたいです。,これをご覧になっていただけるとありがたいです。
調べわかりません。,調べ方がわかりません。
テストのために、この漢字を勉強しますか。,テストのために、この漢字を勉強したらいいですか。
ワークシートをくれてもいいですか。,ワークシートをいただけませんか。
返事があるとき、また連絡します。,返事が来たら、また連絡します。
一人休むだけでした。,一人休んだだけでした。
会議の書類をお書きしました。,会議の書類を作成いたしました。
このメールに添付いたしています。,このメールに添付しております。
新製品がござります。,新製品がございます。
打ち合わせ以前、資料をご確認ください。,打ち合わせの前に、資料をご確認ください。
新製品を見させていただけないでしょうか。,新製品をご覧いただけないでしょうか。
質問があたら、ご連絡ください。,質問がありましたら、ご連絡ください。
持ってきてお願いいたします。,持ってきていただけますか。
メールでお知らせてください。,メールでお知らせください／ご連絡ください。
何日のほうがいいか、ご連絡していただけますでしょうか。,何日がご都合がいいか、ご連絡していただけますでしょうか。
メールに資料を付けました。,メールに資料を添付しました。
お目にかからせていただきませんですか。,お目にかからせていただけないでしょうか。
