私はよく勉強しますから、とても忙しいです。,私はたくさん勉強しますから、とても忙しいです。
それから、ケーティさんと私はいっしょにマンガを読みにはじました。,それから、ケーティさんと私はいっしょにマンガを読みはじました。
しゅうまつ私はテレビを見て、ゲームをします。,週末、私はテレビを見て、ゲームをします。
あまりしゅくだいがありませんから。,あまり宿題がありませんから。
私はゲームをするのがへたですが、ゲームが大好きです。,私はゲームをするのがへたですが、ゲームが大好きです。
クラスをいきますの時、毎日私はおんがくを聞きます。,クラスを行く時、毎日私は音楽を聞きます。
私は日本語のおんがくを聞くのがすきですけど、たいてえい語を聞きます。,私は日本語の音楽を聞くのがすきですけど、たいてい英語の音楽を聞きます。
私はMITの二年生の学生で、しゅくだいとしけんがたくさんありますから、あまりひまでわありません。,私はMITの二年生の学生で、しゅくだいとしけんがたくさんありますから、あまりひまではありません。
でも、毎日家から学校まで歩く時おんがくをいつも聞きます。,でも、毎日家から学校まで歩いて来る時、音楽をいつも聞きます。
それから、ときどき時間がある時家でギターをひきます。,それから、ときどき時間があった時、家でギターをひきます。
私はおんがくを聞くのが大すきで、すきなジャンルはロックとヘビーメタルです。,私はおんがくを聞くのが大すきで、すきなジャンルはロックとヘビーメタルです。
私のすきなバンドは、アヴェンジド・セヴンフオールド、メタリカ、そうして、日本のBabymetal です。,私のすきなバンドは、アヴェンジド・セヴンフオールド、メタリカ、そうして、日本のBabymetal です。
ロックとヘビーメタルおんがくはとてもおもしろくて、すごくたのしいと思って、聞くのはとてもいいですけど、メタルのうたをうたうのはむずかしいですが、私はこのおんがくを大すきです。,ロックとヘビーメタルおんがくはとてもおもしろくて、すごくたのしいと思いますし、聞くのはいいですけど、メタルの歌を歌うのはむずかしいですが、私はこの音楽が大好きです。
それから、私は今学校で日本語を勉強していますから、Babymetal を聞くのはとても勉強をてつだいます。,それから、私は今学校で日本語を勉強していますから、Babymetal を聞くのはとても勉強をてつだいます。
日本のバンドですから、新しいたんごもぶんぽうを勉強するのはいいです。,日本の音楽ですから、新しい単語や文法を勉強するのには、いいです。
それから、ときどきギターをひきます。,それから、ときどきギターをひきます。
私はあまりギターをひくのが上手じゃないですが、ひくのが大好きです。,私はあまりギターをひくのが上手じゃないですが、ひくのが大好きです。
ときどきともだちとりょうでひきます。,時々ともだちと寮でひきます。
すごくたのしいです。,すごくたのしいです。
今日は、私のいもうとをしょうかいします。,今日は、私のいもうとをしょうかいします。
いもうとの名前は、美幸です。,いもうとの名前は、美幸です。
今美幸は九さいで、私の三ばんめのいもうとです。,今美幸は九さいで、私の三ばん目の妹です。
美幸はとてもやさしいです。,美幸はとてもやさしいです。
美幸は今りょおしんとケンブリッジにすんでいて、モールスがっこうの二ねん生です。,美幸は今両親とケンブリッジにすんでいて、モールス学校の二年生です。
美幸はわかいので、すごくかわいいです。,美幸はわかいので、すごくかわいいです。
めがねをかけて、かみがみじかくて、せがひくいです。,めがねをかけて、かみがみじかくて、せがひくいです。
美幸はおどりとソフトボールが大好ききです。,美幸はおどりとソフトボールが大好きです。
おどりのサークとソフトボールのサークルに入っています。,おどりのサークとソフトボールのサークルに入っています。
美幸はバービーが大好きです。,美幸はバービーが大好きです。
美幸とバービーとあそぶ。,美幸とバービーと遊ぶ。
今日私の家族を紹介します。,今日私の家族を紹介します。
四人家族です。,四人家族です。
父と母と妹と私です。,父と母と妹と私です。
中国人の家族で、カリフォルニア州のサンフランシスコ市に住んでいます。,中国人の家族で、カリフォルニア州のサンフランシスコ市に住んでいます。
母は48歳で、背が低くて、頭がいい女の人です。,母は48歳で、背が低くて、頭がいい女の人です。
母の仕事は年上の人のデイケアです。,母の仕事は年寄りのデイケアです。
毎朝午前7時に年寄りの人達の家へ行って、家をそうじしたり、食べ物を作ったりします。,毎朝午前7時に年上の人の家へ行って、家をそうじして、食べ物を作ります。
母は仕事がとても楽しくて、難しくないと言っていました。,母は仕事がとても楽しくて、難しくないと言っていました。
歌を歌うのが大好きですから、よく家で大きい声で歌っています。,歌を歌うのが大好きですから、よく家で大きい声で歌っています。
ちょっとうるさいと思います。,ちょっとうるさいと思います。
父は51歳で、背が高くて、頭が良くて、かっこいい人です。,父は51歳で、背が高くて、頭が良くて、かっこいい人です。
父の仕事は家の近くのレストランのチェフです。,父の仕事は家の近くのレストランのシェフです。
毎朝午前九時半ごろレストランへ行って、中国の食べ物を作ります。,毎朝午前九時半ごろレストランへ行って、中国の食べ物を作ります。
例えば、中国の餃子とか中国のパンを作ります。,例えば、中国の餃子とか中国のパンを作ります。
仕事はよく大変だと言っていました。,仕事はよく大変だと言っていました。
自然が大好きですから、よくハイキングをして、魚釣りをします。,自然が大好きですから、よくハイキングをして、魚釣りをします。
妹は19歳で、背が低くて、頭が良くて、きれいな女の人です。,妹は19歳で、背が低くて、頭が良くて、きれいな女の人です。
カリフォルニア州のデイビス大学 の二年生です。,カリフォルニア州のデイビス大学 の二年生です。
せんこうはグラフィックデザインです。,専攻はグラフィックデザインです。
妹はアートがとても上手ですから、よくいい成績をとります。,妹はアートがとても上手で、よくいい成績をとります。
ひまな時、妹は友達と話して、アニメとアメリアの映画を見て、ちょっとゲームをします。,ひまな時、妹は友達と話して、アニメとアメリカの映画を見て、ちょっとゲームをします。
とてもしんせつな人ですから、よく妹に電話をかけます。,とてもしんせつな人ですから、よく妹に電話をかけます。
私は21歳で、MITの大学三年生で、せんこうはコンピューターです。,私は21歳で、MITの三年生で、専攻はコンピューターです。
ひまな時、友達と話して、ボストンのレストランへ食べ物を食べに行って、ダンスをします。,ひまな時は、友達と話したり、ボストンのレストランへ食べに行ったり、ダンスをしたりします。
以上は私の家族です。,以上は私の家族です。
私はいもうととおにいちゃんがいます。,私は妹と兄がいます。
二人はカリフォルニアにすんでいます。,二人はカリフォルニアにすんでいます。
いもうとは十五さいで、高校に行っています。,いもうとは十五さいで、高校に行っています。
おにいちゃんは大学生で、コンピューターサイエンスをべんきょうしています。,兄は大学生で、コンピューターサイエンスを勉強しています。
父はウェアハウスにつとめています。,父はウェアハウスにつとめています。
毎日午前五時におきて、コーヒーを飲みます。,毎日午前五時におきて、コーヒーを飲みます。
毎日いそがしくて、たいへんだと思います。,毎日いそがしくて、たいへんだと思います。
母はしゅふです。,母はしゅふです。
りょうりをするのが好きです。,料理をするのが好きです。
ふゆ休みに母がつくれったりょうりをたくさん食べました。,冬休みに母がつくってくれた料理をたくさん食べました。
ふゆ休みはかぞくを見ましたから、たのしかったです。,冬休みはかぞくに会いましたから、たのしかったです。
今年のなつ、カリフォルニアにかぞくを見に行きます。,今年のなつ、カリフォルニアへかぞくに会いに行きます。
私のかぞくは小さくて、しんせつです。,私のかぞくは小さいですが、みんなしんせつです。
ニューヨークに住んでいます。,ニューヨークに住んでいます。
かぞくが四人います。,家族が四人います。
私と父と母とおとうとがいます。,私と父と母と弟がいます。
母はドナと言います。,母はドナと言います。
ドナは四十九さいです。,ドナは四十九さいです。
かがくの会社につとめちます。,かがくの会社につとめています。
母はせがひくくて、きびしいです。,母はせがひくくて、きびしいです。
父の名前はクワンです。,父の名前はクワンです。
父は五十六さいで、たんじょうびは四月四日です。,父は五十六さいで、たんじょうびは四月四日です。
父と母は中国人ですから、中国の食べ物をよく作ります。,父と母は中国人ですから、中国の食べ物をよく作ります。
父と母のりょうりはとてもおいしいですよ。,父と母のりょうりはとてもおいしいですよ。
おとうとの名前はイバンです。,弟の名前はイバンです。
イバンは高校生で、十五さいです。,イバンは高校生で、十五さいです。
おとうとはスポーツが大すきです。,弟はスポーツが大好きです。
毎ばん、イバンはうんどうして、ランニングのサークルをしに行きます。,毎ばん、イバンはうんどうしたり、ランニングのサークルをしたりします。
そして、しゅくだいをするのあとで、コンピュータゲームをよくします。,そして、しゅくだいをした後で、コンピュータゲームをよくします。
おとうとはとてもあたまがよくて、いそがしいと思います。,弟はとてもあたまがよくて、いそがしいと思います。
私の家族は４人です。,私の家族は４人です。
父と母と兄と私です。,父と母と兄と私です。
私の家族はみんなバージニアに住んでいます。,私の家族はみんなバージニアに住んでいます。
父は優しいけど、ちょっと静かな人です。,父は優しいけど、ちょっと静かな人です。
父は韓国の‘トロット’という音楽を聴くのが好きです。,父は韓国の‘トロット’という音楽を聴くのが好きです。
テレビでスポーツと韓国のドラマを見るのが大好きです。,テレビでスポーツと韓国のドラマを見るのが大好きです。
特に、野球とサッカーを見る時にとてもうれしいみたいです。,特に、野球とサッカーを見る時にとてもうれしいみたいです。
でも、母は父がテレビを見るのが嫌いです。,でも、母は父がテレビを見るのが嫌いです。
母は料理するのが好きで、とても上手だと思います。,母は料理するのが好きで、とても上手だと思います。
母は韓国のドキュメンタリーを見るのが好きです。,母は韓国のドキュメンタリーを見るのが好きです。
母はとても元気で、すごく面白い人だと思います。,母はとても元気で、すごく面白い人だと思います。
兄は２５歳です。,兄は２５歳です。
兄はビデオゲームをしたり、アニメを見たりするのが好きです。,兄はビデオゲームをしたり、アニメを見たりするのが好きです。
驚くべきことに、最近、兄はまた‘遊戯王’  というトランプゲームを始まりました。,驚くべきことに、最近、兄はまた‘遊戯王’  というトランプゲームを始めました。
兄も大学生の時に、日本語を勉強しましたけど、もうしません。,兄も大学生の時に、日本語を勉強しましたけど、もうしていません。
今日、私の家族を紹介します。,今日、私の家族を紹介します。
父と母はコロラドに住んでいます。,父と母はコロラドに住んでいます。
父はイギリスの会社に勤めています。,父はイギリスの会社に勤めています。
ドイツ語がわかります。,ドイツ語がわかります。
大学の時日本語を勉強しましたから日本語もちょっとわかります。,大学の時日本語を勉強しましたから、日本語もちょっとわかります。
母は今主婦ですが私の高校の時仕事が会社員でした。,母は今主婦ですが、私の高校の時は、会社員でした。
祖父と祖母は韓国人ですけど母はいつもアメリカに住みましたから韓国語がわかりません。,祖父と祖母は韓国人ですけど、母はいつもアメリカに住んでいましたから、韓国語がわかりません。
兄が一人います。,兄が一人います。
今、オハイオのトリドに住んでいて医学の学生です。,今、オハイオのトリドに住んでいて、医学部の学生です。
かっこよくて頭がいい人です。,かっこよくて頭がいい人です。
妹も一人います。,妹も一人います。
今，高校の四年です。,今，高校の四年です。
静かで親切な人です。,静かで親切な人です。
来年ノートルダム大学に行きます。,来年ノートルダム大学に行きます。
父と母はノートルダム大学に行きましたからとてもいいです。,父と母はノートルダム大学に行ったから、とてもいいです。
今、私はMITの四年生です。,今、私はMITの四年生です。
せんこうはコンピューターです、それから、来年私はカリフォルニアに行きます。,せんこうはコンピューターで、来年私はカリフォルニアに行きます。
あそこでグーグルに勤めていますから。,あそこでグーグルに勤めていますから。
今年、私の大好きなクラスは日本語です。,今年、私の大好きなクラスは日本語です。
アニメと日本の文化が好きですから。,アニメと日本の文化が好きですから。
子供の時、たくさんアニメをみて、たくさん漫画を読みました。,子供の時、たくさんアニメをみて、たくさん漫画を読みました。
それから、高校の時、日本の食べ物が大好きですから、ニューヨークの日本のレストランにたくさん行きました。,それから、高校の時、日本の食べ物が大好きでしたから、ニューヨークの日本のレストランによく行きました。
大学の一年生の時、たくさｎ日本語の歌を聞きました。,大学の一年生の時、たくさん日本語の歌を聞きました。
例えば、私の大好きな歌は中島美嘉さんの雪の華で、よく聞きます。,例えば、私の大好きな歌は中島美嘉さんの「雪の華」という歌で、よく聞きます。
日本語はおもしろかったと思いました、でも、私は前に忙しかったですから、日本語を勉強しませんでした。,日本語はおもしろかったと思いましたが、忙しかったですから、日本語を勉強しませんでした。
今、四年生で、ちょっとひまですから、日本語のクラスにいきます。,今、四年生で、ちょっとひまですから、日本語のクラスにいきます。
日本語のクラスは難しいですけど、とても楽しいです。,日本語のクラスは難しいですけど、とても楽しいです。
私のいもうとのなまえはソーニャーです。,私の妹の名前はソーニャーです。
高校生の三ねん生で、生物学と脳認知科学がすきです。,高校生の三年生で、生物学と脳認知科学がすきです。
ソーニャーはきれいで、とてもしんせつな人です。,ソーニャーはきれいで、とてもしんせつな人です。
かみがながくて、めが大きいです。,かみがながくて、めが大きいです。
いもうとはおよぐのがだいすきで、じょうずです。,妹はおよぐのが大好きで、じょうずです。
なつに、よくおよぎます。,夏に、よくおよぎます。
そしてすごくさむいみずでおよぎますよ。,そしてすごく冷たい水でおよぎますよ。
うみにおよぎにきませんか。,うみへおよぎに来ませんか。
どうぶつがだいすきですから、ペットがいます。,動物がだいすきだから、ペットがいます。
日本語のアニメがすきですから、よく見ます。,日本語のアニメがすきですから、よく見ます。
いもうとは「デスノートのアニメはとてもおもしろくていい」と言っていました。,いもうとは「デスノートのアニメはとてもおもしろくていい」と言っていました。
だから、私もおととしのなつデスノートを見ました。,だから、私もおととしのなつデスノートを見ました。
私は時どきいもうとといっしょにいる時しんせつじゃないですけど、ソーニャーは私のすきなともだちです。,私はいもうとといっしょにいる時、時々あまりしんせつじゃないけど、ソーニャーは私のすきなともだちです。
今日、私の家族を紹介します。,今日、私の家族を紹介します。
私の家族は五人で、中国人で、父と母とあねといもうとがいます。,私の家族は五人で、中国人で、父と母と姉と妹がいます。
父は五十歳で、せがたかくないですが、せがひくくないです。,父は五十歳で、せがたかくもないし、ひくくもないです。
父の仕事はバスをうんてんすることです。,父の仕事はバスをうんてんすることです。
母は四十九歳で、せがひくくて、しゅふです。,母は四十九歳で、せがひくくて、しゅふです。
家でそうじして、新聞を読んでいます。,家をそうじしたり、新聞を読んだりしています。
あねは二十四歳で、ヘルスケア会社につとめています。,あねは二十四歳で、ヘルスケアの会社につとめています。
いもうとは十七歳で、高校生です。,いもうとは十七歳で、高校生です。
私は二十二歳で、大学生で、せんこうは機械工学です。,私は二十二歳で、大学生で、せんこうは機械工学です。
休みの時、私ときょうだいは家でトランプゲームをあそんで、テレビとえいがをみるのが大好きです。,休みの時、私ときょうだいは家でトランプゲームで遊んだり、テレビとえいがを見たりするのが大好きです。
ときどき私の家族はハイキングをして、テニスをします。,ときどき私の家族はハイキングをしたり、テニスをしたりします。
父はりょうりするのがじょうずですから、私は家族とあまりレストランに行きません。,父はりょうりするのがじょうずですから、私は家族とあまりレストランに行きません。
でも、ときどき私ときょうだいはマクドナルドに行くのが好きです。,でも、ときどき私ときょうだいはマクドナルドに行くのが好きです。
私はMITの学生ですから、よくストレスがあります。,私はMITの学生ですから、よくストレスで食べます。
だから時間があったら、アニメを見ます。,だから時間があったら、アニメを見ます。
銀魂アニメと新世紀エヴァンゲリオンを見ます。,銀魂アニメと新世紀エヴァンゲリオンを見ます。
アニメがたくさんだいすきです。,アニメがとてもすきです。
ファイナルファンタジー14のゲームをします。,ファイナルファンタジー14のゲームをします。
ファイナルファンタジーはすごく楽しくて、面白いです。,ファイナルファンタジーはすごく楽しくて、面白いです。
それから、私の友達と衣装ゲームをします。,それから、私の友達と衣装ゲームをします。
ときどゲームは難しいです。,ときどゲームは難しいです。
私はゲームをするのが下手です。,私はゲームをするのが下手です。
でも、友達はゲームするのがすごく上手です。,でも、友達はゲームするのがすごく上手です。
それから、うんどうをします。,それから、うんどうをします。
毎日ランニングをします。,毎日ランニングをします。
八マイルをします。,八マイルをします。
一時間ぐらいランニングをします。,一時間ぐらいランニングをします。
私の家族は四人で、父と母とおとうとがいます。,私の家族は四人で、父と母とおとうとがいます。
おとうとの名前はJacenで、十八さいです。,おとうとの名前はJacenで、十八さいです。
おとうとはコロラドに住んでいて、コロラド大学生です。,おとうとはコロラドに住んでいて、コロラド大学の学生です。
一年生で、せんこうはまだわかりません。,一年生で、せんこうはまだ分かりません。
おとうとはおもしろくて、しんせつな人で、ちょっとせがひくいです。,おとうとはおもしろくて、しんせつな人で、ちょっとせがひくいです。
おとうとはいそがしですから、あまり電話でかけません。,おとうとはいそがしですから、あまり電話がかけられません。
だからメッセージをよくします。,だからメッセージをよくします。
父と母はリタイヤしていて、フロリダに住んでいます。,父と母はリタイヤしていて、フロリダに住んでいます。
それで春休みは私とおとうとはフロリダにりょこうします。,それで春休みは私とおとうとはフロリダにりょこうします。
そこに家族に会って、話して、あそびます。,そこで家族に会って、色々話したろ、あそんだりします。
私は家族と会うのがたのしいと思います。,私は家族と会うのが楽しみです。
私のかぞくは四人です。,私の家族は四人です。
父はコンピューターウェアエンジニアです。,父はコンピューターソフトウェアのエンジニアです。
あたまがよくて、おもしろいです。,あたまがよくて、おもしろいです。
でも、ときどきこわいですよ。,でも、ときどきこわいですよ。
二十ねんまえ、父はコンピューターの会社につとめているためにアメリカにきました。,二十ねんまえ、父はコンピューターの会社につとめるためにアメリカにきました。
母はしゅふで、しんせつな人です。,母はしゅふで、しんせつな人です。
いつもおいしい食べものを作ります。,いつもおいしい食べものを作ります。
父と母はいんど人です。,父と母はインド人です。
きょうだいが一人います。,兄弟が一人います。
いもうとは十一さいです。,妹は十一さいです。
めがねをかけています。,めがねをかけています。
テレビを見るのが大すきです。,テレビを見るのが大すきです。
食べるのも大すきです。,食べるのも大すきです。
ちょっとふとっていますから。,ちょっとふとっていますから。
今かぞくはカリフォルニアにすんでいます。,今かぞくはカリフォルニアにすんでいます。
今日は、私の家族についてはなします。,今日は、私の家族についてはなします。
家族は、四人です。,家族は、四人です。
私は兄弟が一人います。,私は兄弟が一人います。
父と母と兄の名前は、アダンとオルガとアダンです。,父と母と兄の名前は、アダンとオルガとアダンです。
母と父はメキシコのハリスコのグアダラハラにすんでいます。,母と父はメキシコのハリスコのグアダラハラにすんでいます。
２５年前、結婚した。,２５年前、結婚した。
両親はしんせつな人で、真面目な会社員です。,両親はしんせつな人で、真面目な会社員です。
毎日、午後7時に一緒に散歩します。,毎日、午後7時に一緒に散歩します。
父はWiiのゲームをするのがじょうずです。,父はWiiのゲームをするのがじょうずです。
母は描くのがじょうずです。,母は絵を描くのがじょうずです。
兄はMITで勉強しました。,兄はMITで勉強しました。
今年から、兄はシカゴの大学でべんきょうしますから、シカゴにすんでいます。,今年から、兄はシカゴの大学でべんきょうしますから、シカゴにすんでいます。
兄の家は公園の前にあると思います。,兄の家は公園の前にあると思います。
兄は数学の大学院生で、凄くあたまがいいと思います。,兄は数学の大学院生で、凄くあたまがいいと思います。
兄はピアノをひくのがじょうずです。,兄はピアノをひくのがじょうずです。
私は家族みんなが大好きです。,私は家族みんなが大好きです。
今日は、私のりょうは紹介します。,今日は、私の寮のことについて紹介します。
毎日、すごく楽しですから。,毎日、すごく楽しですから。
五人四年生と六人三年生と十二人二年生と六人一年生がいます。,四年生が五人と三年生が六人と二年生が十二人と一年生が六人います。
ここでたばこをすてもいいです。,ここでたばこをすってもいいです。
それから、可愛い猫が五匹あります。,それから、可愛い猫が五匹います。
ここでたくさんメキシコ人がいって、たくさん物理学生もいます。,ここにたくさんメキシコ人がいて、たくさん物理学の学生もいます。
みんなさんはあたまがよくて、すごくやさしくて、親切ですね。,みんな、あたまがよくて、すごくやさしくて、親切ですね。
こどもの時、私はたくさんスポツをしました。,こどもの時、私はたくさんスポーツをしました。
クリケットとテーブルテニスをするのが大すきでした。,クリケットとテーブルテニスをするのが大すきでした。
それからビデオゲームをすろのがすきでした。,それからビデオゲームをするのがすきでした。
高校の時、あまりうんどうしました。,高校の時、あまりうんどうしませんでした。
私の高校はクリケットサークルとテーブルテニスサークルがありませんから。,私の高校はクリケットサークルとテーブルテニスサークルがありませんでしたから。
アニメをたくさんみて、ゲームをしました。,アニメをたくさん見て、ゲームをしました。
今大学に行っていて、私はとてもいそがしいですから、たくさんじゅみがありません。,今大学に行っていて、私はとても忙しいですから、あまりしゅみがありません。
毎日プールをします。,毎日プールをします。
ときどきボストンにけんぽしに行きます。,ときどきボストンにさんぽしに行きます。
私のかぞくは六人ですけど、イラクのバグダッドにすんでいます。,私のかぞくは六人ですけど、イラクのバグダッドにすんでいます。
きょだいは三人です。,きょだいは三人です。
私のあねは二十一さいですけど、なまえはサフワですです。,私のあねは二十一さいで、名前はサフワです。
あねは大学生ですけど、トルコの大学で勉強します。,あねは大学生で、トルコの大学で勉強しています。
でも今はフランスにあります。,でも今はフランスにあります。
私のおとうとは十五さいです。,私のおとうとは十五さいです。
なまいぇはアシムですけど、高校生です。,なまえはアシムですけど、高校生です。
私のべつのおとうとがあります。,私はもう一人おとうとがいます。
四さいですけど、なまいぇはアルハサンです。,四さいですけど、なまえはアルハサンです。
それかすごくおもしろいです。,それかすごくおもしろいです。
私の父はインジニア。,私の父はエンジニアです。
母はさいふです。,母はしゅふです。
私のかんぞくは母と父とおとうとの二人です。,私のかんぞくは母と父とおとうとの二人です。
ペンスヴァンやのランカスターにすんでいます。,ペンスヴァンやのランカスターにすんでいます。
母はしゅふで、五十二さいです。,母はしゅふで、五十二さいです。
父は電気ぎしで、五十七さいです。,父は電気ぎしで、五十七さいです。
ひとつめのおとうとのなまえはマイケルで、十七さいです。,一人目のおとうとのなまえはマイケルで、十七さいです。
マイケルは高校の四ねん生です。,マイケルは高校の四年生です。
アイスホッケーするのがじょうずです。,アイスホッケーをするのがじょうずです。
ふたつめのおとうとのなまえは アレックスです。,二人目のおとうとのなまえは アレックスです。
九さいで、五ねん生です。,九さいで、五年生です。
ラクロスするのがだいすきです。,ラクロスをするのがだいすきです。
おととし私はMITのりょうでいちばんのしんゆうに会いました。,おととし私はMITの寮でしんゆうに出会いました。
しんゆうのなまえは、パティー二ョさんです。,しんゆうの名前は、パティー二ョさんです。
子どもの時、パティーニョさんはコロンビアにすんでいましたから、サッカーをするのがじょうずです。,子どもの時、パティーニョさんはコロンビアにすんでいましたから、サッカーをするのがじょうずです。
パティーニョさんはかっこよくてあたまがいいですから、MITの学生です。,パティーニョさんはかっこよくてあたまがよくて、MITの学生です。
MITでコンピューターサインスとせいじと日本語をべんきょうしていますから、たいていひまじゃないです。,MITでコンピューターサインスと政治と日本語をべんきょうしていますから、たいていあまりひまじゃないです。
でも、ひまの時はパンを作るのがすきです。,でも、ひまな時はパンを作るのがすきです。
私もりょうりするのが大すきですから、ときどきパティーニョさんと食べものを作ります。,私もりょうりするのが大すきですから、ときどきパティーニョさんと料理します。
きょねんのかんしゃさい、パティーニョさんといっしょにカナダに行きました。,去年のかんしゃさいの時、パティーニョさんといっしょにカナダに行きました。
モントリオールでみんなフランス語をはなしましたから、私は何もわかりません。,モントリオールでみんなフランス語をはなしましたから、私は何もわかりませんでした。
でも、パティーニョさんはスペイン語をわかりますから、フランス語もちょっとわかります。,でも、パティーニョさんはスペイン語をわかりますから、フランス語もちょっとわかります。
とてもべんりですよ。,とてもべんりですよ。
ことし、パティーニョさんといっしょにコロンビアに行きます。,今年、パティーニョさんといっしょにコロンビアに行きます。
たのしみにしています。,たのしみにしています。
私は、MITの学生ですから、いつもとても忙しいです。,私は、MITの学生ですから、いつもとても忙しいです。
でも、趣味があります。,でも、趣味があります。
料理するは、趣味の一つです。,料理するは、趣味の一つです。
暇の時、たくさんコロンビアと韓国と日本の食べ物を作るのが大好きです。,暇な時、たくさんコロンビアと韓国と日本の食べ物を作るのが大好きです。
パンを作るのがちょっと難しいですけど、とても楽しくて、やりがいがある。,パンを作るのはちょっと難しいですけど、とても楽しくて、やりがいがある。
それから、毎週私の寮のために料理して、一緒に食べます。,それから、毎週私の寮の友達のために料理して、一緒に食べます。
ストレスの時、よくインターネットのクッキングビデオを見ます。,ストレスがある時、よくインターネットのクッキングビデオを見ます。
サッカーも、趣味の一つです。,サッカーも、趣味の一つです。
サッカーをするのが大好きで、サッカーゲームを見るのも好きです。,サッカーをするのが大好きで、サッカーゲームを見るのも好きです。
父はサッカー選手 でしたから、子供の時から今、よくサッカーをしました。,父はサッカー選手 でしたから、子供の時から今までずっと、よくサッカーをしています。
出身のチームですから、私の好きなサッカーチームは『Columbus Crew』。,私の好きなサッカーチームは私の出身地のチームの『Columbus Crew』です。
私の大好きなアニメは「ドラゴンボールです」。,私の大好きなアニメは「ドラゴンボール」です。
子供のころから、テレビに見ました。,子供のころから、テレビを見ました。
ずっとあこがれのキャラクターは孫悟空です。,ずっとあこがれのキャラクターは孫悟空です。
悟空は、あたまがよくないですけど、すごく強いです。,悟空は、あたまがよくないですけど、すごく強いです。
かれは、地球の英雄だと思います。,かれは、地球の英雄だと思います。
いつも悪い人をたおして、みんなをまもります。,いつも悪い人をたおして、みんなをまもります。
悟空は、四人家族です。,悟空は、四人家族です。
息子が二人いて、その名前は、孫悟飯と孫悟天です。,息子が二人いて、その名前は、孫悟飯と孫悟天です。
小さいのとき、悟飯は悟空よりも強かったですが、今はたくさん勉強していて、ぜんぜん強くありません。,小さい時、悟飯は悟空よりも強かったですが、今はたくさん勉強していて、ぜんぜん強くありません。
悟空はいつも、「もっと強くになりたい」て言っています。,悟空はいつも、「もっと強くなりたい」と言っています。
だから、私は毎日運動しています。,だから、私は毎日運動しています。
二年前に新しいのドラゴンボールのアニメがはじまりました。,二年前に新しいドラゴンボールのアニメがはじまりました。
「ドラゴンボール超」と呼びました。,「ドラゴンボール超」と呼びました。
